Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
CALM,44.6576,0.161545913,0.6606,1.6229,0.091422805,79.8764,0.901705115
TERP,23.4426,0.152470187,-0.7643,-0.169,-0.010051107,37.5424,0.982829109
BWLA,22.5092,0.021831098,-0.6194,-0.0074,-0.011130883,46.451,1.039071642
MON,32.2282,0.02149836,-0.6231,-0.4068,0.002808375,51.7335,0.979178861
STZ,59.1187,0.039066789,-0.1225,1.6703,-0.001216834,70.9545,1.048702223
ISCA,27.7506,0.072845209,0.6029,0.5004,0.014742015,66.4123,0.975757576
SKY,51.4932,0.074419714,-0.1519,0.0467,0.025278219,60.5745,1.02888977
GRIF,19.3553,0.041108033,-0.084,-0.1181,0.000530194,56.9996,1.03601108
RELL,32.0086,0.10623494,0.0345,0.0049,0.036746988,64.7621,1.016566265
TAYD,27.1175,0.127038142,-0.0273,0.0233,-0.005564067,47.0543,1.072741807
OPNT,40.0123,0.342715969,-0.7347,-0.7318,-0.05891034,51.2363,0.752054048
AIRT,32.1878,0.258711019,0.7328,1.3318,0.166569647,78.7172,1.029106029
CSTR,27.5256,0.144186916,0.4985,0.3979,0.071775701,66.1376,0.978460128
EDUC,29.0169,0.134065455,0.725,0.5228,-0.005207273,68.9585,1.358422939
KMG,32.8583,0.067017348,-0.1721,0.2969,0.039395635,55.906,1.239449541
NFLX,31.0543,0.092997538,-0.5319,-0.3635,-0.014623702,51.8142,1.021865121
CBAN,27.2578,0.038968198,0.2235,0.0449,-0.002826855,59.5586,1.03180212
CMA,19.5245,0.134676534,0.3804,1.3654,0.052924326,67.4262,1.033132885
ELEC,63.0624,0.005273438,0.0909,0.0088,0.002132813,61.2707,1.006829268
IBKR,69.3635,0.107930441,0.5966,1.6024,0.04731405,94.8953,1.034405643
LRCX,52.6114,0.206753634,-0.5953,1.0982,-0.050572387,51.2547,0.976211638
PLD,36.9796,0.019836833,0.5078,0.4475,-0.003051821,67.325,0.968530947
PZN,25.9463,0.181946429,-0.3518,-0.0233,0.045535714,55.8801,0.972370766
UCFC,19.2806,0.108954918,0.3114,0.1134,0.062909836,61.5141,0.950604839
ADTN,18.8476,0.147052632,0.6607,0.2333,0.089035088,57.0668,0.863636364
AA,42.322,0.184654179,-0.8177,-1.2272,-0.013400576,45.4995,1.291016548
BDN,19.1609,0.033035403,-0.3803,-0.0666,-0.0198491,47.87,1.056036973
SLM,18.8508,0.152115891,0.3833,0.1559,0.096224759,59.8817,0.983718937
SVU,30.4091,0.215527883,0.4412,0.063,0.137628587,58.8817,1.172523962
TBK,34.6768,0.158181269,0.3777,0.3442,0.076435045,67.9348,0.945266272
BCBP,23.3349,0.05024055,0.36,0.1411,0.027491409,55.7066,1.02319236
BLMT,20.2467,0.106840764,0.4923,0.3391,0.058280255,62.6063,0.944794953
BSF,38.3619,0.003820663,-0.1667,0.0067,-0.000389864,63.8613,0.99805258
CAI,55.0103,0.149383771,-0.6469,-0.083,-0.059243441,56.6668,0.857847404
CLW,14.7924,0.131651987,0.2087,0.4372,0.061868958,50.3007,0.978902954
CVTI,35.1856,0.063215768,0.0418,0.3626,0.021369295,67.8787,0.966288385
DOV,20.5466,0.047543353,0.2273,0.6746,0.027807597,73.693,1.041853818
FBNK,19.5537,0.067395085,-0.0476,-0.0707,0.031758034,54.1451,0.997172479
OSBC,26.7631,0.129641791,-0.1707,0.0715,0.073880597,58.3988,1.018450185
PVBC,21.7494,0.103830645,0.026,0.1598,0.029435484,66.832,1.078
SHBI,16.8842,0.058111048,0.696,0.1152,0.016599886,61.9535,0.970521542
SKX,32.2905,0.163937941,0.6067,1.3529,0.070014104,70.5021,1.087212563
WAYN,42.1797,0.050915068,0,0.0992,0.029049863,63.8865,1.010958904
WGO,67.3997,0.151759259,0.5858,2.1407,0.098518519,86.4458,1.030411449
AIMC,33.2847,0.045850312,0.0742,0.2149,0.03014553,61.9316,1.036734694
BHGE,35.8213,0.108990228,-0.4529,-0.7593,-0.034462541,33.5949,1.031300681
BHB,21.8957,0.128850943,-0.4297,-0.2051,0.039701174,42.1599,0.99402315
CLF,21.1516,0.190058651,0.4105,-0.0253,0.082111437,49.3809,1.06
TCFC,29.7555,0.044545709,-0.1282,0.0915,0.003131115,49.1687,1.07062069
EMCF,13.9442,0.035756334,-0.1894,0.2441,0.005289169,60.9865,0.99532672
SLB,22.3432,0.093041866,-0.2658,-0.8056,-0.009392863,46.8874,1.03984339
SCCO,24.9879,0.053564079,-0.557,0.0466,-0.009635173,59.4428,1.119563186
HAL,17.7564,0.101425917,-0.263,-0.56,-0.031119368,49.6008,1.126004131
PMBC,19.6987,0.154196891,0.12,0.0869,0.069430052,63.2986,0.917525773
PEB,35.8766,0.073698993,0.7447,0.5896,0.035294118,72.3244,0.980082773
PETS,36.0349,0.103955262,0.7038,0.7342,0.031672598,58.6307,1.175158428
PCH,46.6834,0.049984526,-0.15,0.0382,-0.026305609,57.9045,0.972061657
BSRR,19.1901,0.131465425,0.2967,0.2728,0.074023647,61.5261,0.966538789
SPN,23.326,0.158098098,0.3166,0.062,0.071871872,52.3085,0.966236346
TMUS,16.2972,0.111812808,0.1116,0.4298,0.071231527,48.3161,1.051832503
TESS,35.3531,0.271122807,0.3337,0.7711,0.138011696,66.4354,1.224120344
THR,43.9086,0.161568627,0.2559,0.7814,0.095566922,77.0947,1.018675722
AMD,20.6538,0.090139795,-0.2236,-0.3537,-0.011556384,36.722,0.964448496
ATI,34.1543,0.253988541,-0.5609,-0.3832,0.03093874,54.1817,1.060891938
AMP,45.0646,0.043334769,0.498,2.1672,0.029716255,74.3522,1.050508743
WRB,18.2186,0.075057537,0.0755,-0.1879,0.002560414,57.4702,1.032235142
CIT,18.0982,0.135391761,0.4695,0.5344,0.0523021,59.895,0.995422886
CCBG,31.8496,0.113394864,0.1029,0.3151,0.069983949,62.3934,0.933175168
CAT,74.9057,0.056191351,0.7287,1.7697,0.022470322,87.4815,1.113060393
CMG,44.173,0.156486882,0.7192,0.4089,0.043792061,45.8019,0.951427929
FBNC,34.1425,0.105403119,0.1829,0.6295,0.056727465,71.4586,0.942378208
HIW,13.0824,0.028584403,-0.1399,-0.2266,-0.01828233,41.2499,1.001171189
KRA,43.9001,0.096939867,-0.4721,0.9453,-0.00316713,66.0295,1.05167798
MKSI,50.1495,0.209977528,-0.8449,-0.5069,-0.057945425,49.4767,1.015847861
MRCY,39.7542,0.089747055,0.2991,0.4532,0.044294265,61.3844,0.996986063
EBSB,32.9166,0.06419,0.0996,0.2622,0.033,66.4407,1.051980198
NBN,39.0695,0.075787321,-0.4154,-0.1237,0.047443763,55.1433,0.968686869
NWFL,36.0059,0.069478261,0.0163,-0.0089,0.038595318,33.8303,1.137630191
PPBI,18.2862,0.096030019,-0.2308,0.1551,0.055659787,59.4754,1.014357054
PEBO,12.5604,0.092495565,0.1165,0.163,0.041159077,58.0771,0.973529412
PII,59.6786,0.101492348,0.3944,3.8082,0.051399572,82.2549,0.998502241
PHM,65.3024,0.15456099,0.7085,1.2475,0.057690041,91.0991,0.99345513
RRC,37.0242,0.131881081,-0.1443,-0.197,0.007675676,44.7501,0.944004226
WRI,13.3485,0.093422168,0.7126,0.2923,0.002059358,56.9016,0.992790628
BHBK,30.165,0.097687646,-0.1786,0.299,0.04009324,64.2272,0.946882217
CADE,18.411,0.200336,-0.0299,0.3634,0.08528,62.7457,1.088729017
ESQ,40.7812,0.186412698,0.6332,0.5522,0.077354497,80.8513,1.05026455
FCX,24.9766,0.055251595,-0.2727,-0.111,0.006378455,51.0048,1.358895877
GNBC,23.4799,0.1215625,0.032,-0.047,0.053571429,55.5324,0.926829268
GCBC,33.9132,0.062,0.3852,-0.0087,0.019093851,66.8602,1.055016181
HTA,13.2036,0.035629268,0.4088,0.151,0.002536585,55.0921,0.978861789
HFBC,18.7326,0.06674499,0.3195,-0.0315,0.027870076,53.7491,0.980662983
HLI,62.5136,0.105435524,0.6795,0.9864,0.045985899,82.8603,1.026522814
INVA,19.4029,0.114693878,0.5342,0.0574,0.027966742,51.8272,1.08621988
KIM,21.6624,0.071091892,0.1911,-0.1396,-0.037189189,40.6861,0.981955292
NTRI,23.4457,0.085165482,0.0745,-0.8843,0.03248731,42.7094,1.049358342
PTC,27.7055,0.079482759,-0.5071,0.5182,-0.009706258,57.8863,0.966121136
BTU,56.6808,0.120932153,0.659,0.7063,0.05439528,77.0316,1.15970323
PRAH,34.2546,0.079833842,0.0866,0.5525,0.037092242,60.6235,1.101009068
PFBC,26.1726,0.114984999,0.0704,0.7819,0.058392547,62.9983,0.954377118
RCKY,36.3107,0.225284091,-0.1795,0.5182,-0.041477273,61.1603,1.070416901
RES,18.9335,0.148307197,-0.1686,0.0051,0.011097708,61.8103,1.028880866
NOW,46.4348,0.06510843,-0.4242,0.4618,-0.007598239,59.7219,1.060172845
SIRI,26.1696,0.062202166,0.1034,-0.0189,0.015162455,53.1183,0.973070018
SIX,38.8026,0.042649651,0.75,0.7185,-0.002035855,70.2371,1.020694864
S,35.3455,0.155242881,-0.5221,-0.1976,-0.01038526,26.3764,0.99668325
TPH,51.9073,0.067784703,0.25,0.5592,0.020963173,78.7768,1.006626173
