Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
BIG,25.323,0.161291999,0.445,1.3413,0.034464842,54.1034,0.937572064
COUP,24.6345,0.23008714,0.8346,1.4096,0.057354106,66.2486,1.142893273
INSE,22.7839,1.110295652,-0.7857,-0.8974,-0.328695652,18.4721,0.848484848
AVAV,34.1581,0.123808759,-0.7754,-0.399,-0.032141422,48.0615,0.969760365
BNED,25.1971,0.363492063,-0.835,-0.2564,-0.134603175,39.5631,1.129657228
HDS,22.3104,0.108551275,-0.4224,-0.0135,-0.006565383,46.9306,0.941827542
HQY,20.8607,0.062459378,0.5717,0.6095,0.044533601,54.8908,1.143529873
LE,26.2493,0.30597546,-0.6667,-0.1182,-0.140797546,50.0361,1.072674419
OXM,45.367,0.099272727,0.3489,1.4411,-0.023939394,66.9101,1.043637281
RH,35.7033,0.193965667,0.3682,0.5816,0.002194698,52.2882,0.9228474
TOL,43.5758,0.176258621,-0.2443,-0.4524,-0.099525862,48.1225,0.95177186
ALOG,27.4789,0.026467179,-0.2489,-0.0068,0.002365464,57.8239,0.998251748
CMTL,22.2348,0.020163117,-0.3085,-0.0244,0.0048029,60.1799,1.027758853
GEF,28.8757,0.086473413,-0.5851,-0.2568,-0.021818182,48.4159,0.994465873
KLXI,49.9657,0.081572674,0.3784,1.6114,0.01005814,71.9933,0.963102725
CLDR,23.3201,0.110309051,0.8355,0.4281,0.022075055,55.6753,1.021141649
CONN,46.324,0.310046358,-0.5506,-0.1358,-0.084437086,46.6925,1.006033183
DVMT,33.5435,0.353531735,-0.4263,-2.2741,-0.225952045,34.754,1.04185661
ENZ,43.5996,0.198569464,-0.6518,-0.2921,-0.045116919,24.8996,0.902571042
IMKTA,40.4444,0.20254372,-0.2805,0.3561,-0.023211447,51.0896,0.969852941
FIZZ,23.9324,0.179128749,0.5702,2.2841,0.054351638,57.4466,0.90701329
MTN,20.1988,0.160934031,0.1654,1.6213,-0.016451051,46.5613,0.939653641
JOUT,30.3493,0.254277658,-0.4611,-0.6112,0.013882922,66.774,1.023158756
ODC,13.1835,0.236942466,-0.5737,-0.9213,-0.084657534,34.7612,0.982820513
KMG,40.5166,0.155433898,-0.7743,-0.5092,-0.066271186,50.3418,1.014495141
MSB,57.3755,0.281314402,-0.0453,0.0234,-0.14158215,51.4776,1.040755467
TCCO,61.3134,0.538311111,-0.1522,0.1993,-0.095555556,58.9412,0.815384615
AXR,15.798,0.117215686,0.9726,0.1311,0.054010458,74.3894,0.997382199
SGMA,42.8948,0.260238636,-0.5471,-0.2272,-0.003340909,43.7208,0.804850498
VALU,25.4462,0.128284823,-0.0168,0.2203,0.018295218,54.5857,0.928988327
PAY,13.7647,0.089751013,-0.0612,-0.0547,-0.024551245,36.0902,0.945576333
ADBE,40.7194,0.105527499,0.8191,4.7587,0.014291556,70.4003,1.057942999
BRT,38.8155,0.219377104,0.6031,0.4117,-0.021548822,57.0844,0.777202073
KALV,34.3647,0.265408922,0.2428,0.3467,0.042193309,55.2346,0.975521306
CSPI,41.6483,0.385572423,0.2302,1.2359,0.025060089,62.1209,0.671775126
MU,34.3277,0.157976482,0.3765,-0.2942,-0.02322391,48.4732,1.121796326
NAV,46.8621,0.126902259,0.5587,0.8529,0.042093491,59.0277,0.839255137
REVG,21.7935,0.239183088,-0.8438,-0.1995,-0.086563956,44.2344,0.930343187
BB,39.4467,0.158501209,0.4273,0.1742,-0.066720387,57.1076,0.959167951
SIF,22.9998,0.059045455,0.0625,-0.0214,0.000863636,49.0169,0.768160648
CAMP,38.6182,0.153974152,0.7327,0.5972,0.06276252,69.7562,0.987794955
LNN,15.5225,0.119965831,-0.0544,0.0034,-0.031503417,43.8957,1.002290326
SGH,56.1098,0.287767885,0.3638,0.7284,-0.030089039,51.8045,0.972972973
WGO,54.4654,0.521735673,-0.7261,-2.4366,-0.190643275,32.985,0.964554243
