Symbol,ADX,BBands,BOP,MACD,MOM,RSI,Gain
APO,31.805,0.131090529,0.5269,0.7233,0.039856588,67.5675,1.061965181
ACRE,14.584,0.064170543,-0.7534,-0.014,-0.012093023,38.8322,0.99529321
CVI,56.0003,0.199049409,0.6351,1.7171,0.08566058,86.5936,0.953488372
CVRR,43.9797,0.348350453,0.8444,0.9625,0.167371601,88.7247,0.965417867
CEVA,20.7878,0.052177681,-0.2941,-0.1786,0.015817985,53.8536,0.965778252
CHDN,61.824,0.055034809,-0.0783,2.5248,0.014697035,76.9808,1.090851867
EMES,13.2556,0.167482615,-0.6331,-0.155,0.005841446,41.1978,1.17
EQIX,24.2014,0.066703588,-0.3794,-4.5457,-0.004629098,47.7314,1.004555809
EL,62.4799,0.053228544,0.3415,1.529,0.012055957,76.1752,1.075739049
FB,21.5751,0.040959991,0.0324,-0.0123,-0.007367109,55.7894,1.045434519
GOOD,20.2315,0.12957265,-0.8079,-0.3596,-0.028774929,39.9652,0.902173913
GLBZ,36.0146,0.031005789,-0.5527,0.0053,0.002945007,49.9662,1.058858407
GRPN,36.4968,0.212,-0.6627,-0.0813,-0.092941176,52.424,1.039923954
GPOR,19.7648,0.11531348,-0.142,-0.0551,0.013636364,45.6239,0.830572289
HCLP,16.7512,0.097476636,0.0787,0.023,-0.060747664,55.1211,1.198198198
HFC,64.5606,0.211362749,0.7265,2.2614,0.081452558,90.9905,0.923933922
NSP,62.8797,1.999187446,-0.9554,-14.4784,-1.014298169,23.7862,1.077787381
KMT,47.2372,0.094620946,0.4079,1.0598,0.036314811,71.6425,0.995367573
LSI,27.6985,0.02845627,-0.1604,0.3379,-0.015920063,67.4258,0.940398835
MSBF,25.9167,0.015235955,0.1111,0.032,0.007308989,53.3581,0.988764045
MRO,37.4451,0.21266391,0.6504,0.6166,0.110691081,77.5413,1.052328925
MDR,17.2652,0.213343465,-0.5563,-0.1339,-0.101823708,43.063,1.269590223
MUR,28.3729,0.170904992,0.6556,0.9328,0.095330113,68.9164,1.027371695
MUSA,21.1682,0.086981085,0.2619,1.1796,0.030363365,64.6301,1.065225402
NYT,25.5754,0.072810811,-0.1,0.1017,0.03027027,51.7299,1.255936675
NEWT,24.6951,0.098269335,0.399,0.2701,-0.020335316,61.9124,0.943807642
NOVT,57.1831,0.162276,0.1917,0.3456,0.0248,58.6892,1.166830226
DNOW,35.2292,0.142429737,0.4184,0.0615,0.06582049,40.3398,1.018819504
OXY,47.7869,0.096877545,0.503,1.4239,0.049660603,80.5568,1.012786003
PXD,33.7748,0.178643911,0.6358,5.1639,0.087682962,71.2821,1.055457395
QTWO,26.2573,0.207457259,-0.8655,-1.3094,-0.057259159,31.1423,1.112565445
REG,23.6955,0.050980052,0.2987,0.615,0.007487713,62.7788,0.902472232
SPAR,57.8823,0.146120635,-0.0758,0.4053,0.064126984,62.9152,0.890282132
X,24.8178,0.250554135,0.8587,1.782,0.069281046,75.3655,1.043780032
VOYA,45.7749,0.206225996,0.5372,2.0997,0.091974934,73.0316,1.06074813
WPX,22.2709,0.162956645,0.5107,0.4882,0.102771855,72.7904,1.036344756
ACIW,15.0566,0.035438906,-0.1351,-0.1529,0.005205117,47.1842,1.021748586
ANIP,54.6319,0.174187742,-0.6448,-0.3613,-0.065259891,58.0339,0.995205579
AYR,26.232,0.063710988,-0.6042,0.0151,0.005386917,51.8776,1.020745131
AGI,15.8968,0.12577573,0.2317,0.0352,0.053456221,45.9464,0.894387001
AOI,26.7312,0.118701887,0.125,0.2623,0.045283019,54.3178,0.970695971
AMCX,23.9218,0.089818787,0.3621,0.9917,0.023816568,48.3386,0.978408051
AVD,26.0012,0.101089059,-0.1471,-0.0836,0.048854962,47.6915,1.090909091
AMGP,19.8146,0.122890467,0.7991,0.1923,0.001318458,56.3674,1.024993992
AIZ,17.5592,0.040696152,-0.0533,0.6557,0.0200119,57.6458,0.913870411
BLDP,49.9166,0.140362812,-0.5507,-0.0944,-0.050793651,49.3387,0.848888889
BIO,28.9246,0.172561277,-0.9417,-3.005,-0.048996522,48.0836,1.094677246
BXP,21.0836,0.058444974,0.4707,0.9585,0.02279474,61.0345,0.961500115
EPAY,63.389,0.086516724,0.3188,0.4007,0.01372549,65.2097,1.057273769
CZR,25.8432,0.084616601,-0.3846,-0.0762,-0.007114625,53.0132,1.097276265
CALA,37.2332,0.406203593,-0.7227,-0.9446,-0.052694611,25.7413,0.907103825
CNQ,17.8501,0.100705487,0.3771,0.2322,0.034994401,61.3207,0.951146288
CRCM,33.3527,0.100554324,-0.3644,0.0745,-0.00232816,56.8647,1.007494647
CECO,38.5259,0.12192053,-0.8797,-0.0422,-0.027317881,60.7523,0.9888977
CWST,50.058,0.125855778,0.6271,0.6522,0.062033015,85.9245,1.112481752
CAVM,41.1813,0.036366456,-0.4696,1.1936,-0.00598831,66.4601,1.037676791
CVE,21.8874,0.25253012,-0.3333,-0.2388,-0.033515882,47.059,1.002561475
CI,59.8101,0.05578315,-0.8776,0.867,-0.020631247,65.2142,1.072641233
CSBK,28.9322,0.024222222,-0.1964,0.0646,0.01625731,56.5143,0.94837587
DCT,24.6583,0.057710105,-0.4148,-0.3598,-0.01623001,52.5242,1.00254065
DDR,31.3267,0.262901786,0.7414,0.2242,0.114508929,53.3031,0.900328587
DZSI,38.2792,0.212980562,0.5879,0.2939,0.134557235,75.9698,1.020084567
DWCH,32.6084,0.078084211,0.2209,-0.2376,0.021052632,43.5667,1.247368421
DXCM,19.8878,0.129600976,-0.11,0.5847,-0.032444677,48.2206,1.006047371
ESIO,62.3443,0.157116192,-0.571,-0.1425,0.054876342,62.2292,1.124540441
EEP,25.4219,0.108095583,-0.5921,-0.0743,-0.044170891,39.5033,1.015148074
ECPG,32.4928,0.119904988,-0.7889,-0.8814,-0.051306413,41.1617,1.001187648
ERII,40.7868,0.383314286,-0.965,-0.1965,-0.177371429,49.0318,0.887292818
EOG,38.6251,0.135613011,0.4102,1.9277,0.073728107,69.6139,1.057957766
EXEL,28.5305,0.204263158,0.5915,0.9929,0.125789474,65.7778,0.994591155
FSS,56.5415,0.090014933,-0.5983,-0.1672,0.020905923,50.2125,1.02200489
FEYE,26.1275,0.055042254,0.1933,-0.0408,0.016056338,42.5865,1.048490437
GCI,30.2462,0.06308887,0.1356,0.2938,0.052976704,67.6403,1.029134533
GNK,20.6993,0.226156156,0.6014,0.5171,0.066366366,62.4646,0.999940209
BGC,46.4146,0.425054054,0.9127,1.6796,-0.008445946,83.6385,1.002525253
GPRO,17.0787,0.158150594,-0.687,-0.2346,-0.035667107,33.094,0.73601506
HIIQ,21.9417,0.252649299,0.2038,0.5833,0.018036072,53.7269,1.003846154
HUBS,30.5396,0.162350679,0.3877,2.0517,0.045248869,64.6409,1.08759733
HBM,16.5395,0.316431818,0.5778,0.3218,0.163636364,63.0431,0.956756757
HPP,19.8275,0.078727007,-0.528,-0.2942,-0.019386861,51.6695,0.931546752
IO,55.9052,0.575179747,0.889,1.9183,0.322025316,83.7419,0.900497512
FRAC,17.7309,0.324039979,0.7368,0.9733,0.174224093,70.6895,0.881224066
KEM,36.9257,0.114621514,-0.0997,-0.494,0.030810093,39.8346,1.305590851
KL,50.957,0.185013021,0.3975,0.3533,0.087630208,67.856,0.945544554
LPSN,32.4049,0.153443478,0.2581,-0.0761,0.02173913,44.2193,1.019027484
MGPI,58.244,0.069929761,0.3258,0.8959,0.016155047,77.7135,1.137067338
TUSK,23.359,0.170208864,0.1475,0.3413,0.079113602,59.3212,1.111004785
VAC,58.9857,0.04610162,0.0853,0.7708,0.027172546,61.4432,1.130390144
MDC,20.8871,0.197609787,-0.8084,-0.4945,0.013174404,42.3552,1.046304814
MOH,29.8594,0.07247783,-0.2257,0.7548,0.024021909,60.2713,1.187739954
NRG,38.39,0.046488764,0.2863,0.0046,-0.007935393,65.0952,0.906896552
NC,28.5485,0.175968127,-0.8881,-1.2454,-0.060557769,33.0312,1.082697201
NBIX,37.6953,0.123379301,0.5799,0.8908,0.037221291,72.4334,1.106691229
OCLR,16.9316,0.099198813,-0.3367,-0.0573,-0.056379822,35.35,0.855714286
OMF,25.8405,0.052804925,0.0362,-0.2534,-0.0287803,45.769,1.270722433
OA,63.5423,0.010795437,-0.3627,-0.0499,-0.001642586,71.4993,1.003560606
PBF,49.0283,0.147520451,0.6149,0.9881,0.062115656,78.449,0.8932306
PH,52.2576,0.092350937,0.6924,4.0772,0.032768815,83.7078,1.032949504
PEI,21.3949,0.138149706,0.4171,0.2208,0.0627418,60.8903,0.912070344
PDM,24.5466,0.051881693,-0.2797,-0.0861,-0.022641509,41.1706,0.99137931
PUMP,47.0008,0.108055556,0.3808,0.7466,0.049702381,84.2847,0.947035957
QDEL,36.1186,0.196913495,0.5888,1.4704,0.093564014,64.328,1.052949062
RCMT,47.0347,0.266592,-0.3862,-0.1173,-0.1515168,50.6936,1.017338856
RFP,71.774,0.308561086,0.7551,0.6881,0.161085973,86.006,1.026086957
RSO,19.8044,0.09018143,-0.9014,-0.1407,-0.030736393,34.3443,1.006355932
SRCI,22.3054,0.167456038,-0.2545,-0.0081,0.023212192,50.6519,1.186363636
SD,24.0919,0.207005221,0.5331,0.1665,0.043569056,63.2341,0.858007449
SWM,45.1058,0.084550265,-0.0029,0.5155,0.034126984,65.0842,1.010199653
SGMS,60.8133,0.082062378,-0.2105,0.1872,-0.022417154,68.4151,0.918446602
SHEN,21.2962,0.182798817,-0.7686,-0.8767,-0.038017751,42.7371,1.002936858
SP,30.1932,0.091994609,-0.6462,-0.2061,-0.026954178,47.1053,1.052631579
SFM,31.7189,0.069716632,0.5356,0.7839,0.035564682,66.6175,1.134282277
SGY,31.6277,0.355062189,0.6757,0.7896,0.205970149,61.7814,1.094793861
TDY,58.4465,0.032709909,-0.4995,0.9464,0.00961634,69.4252,1.066735336
TRNO,37.0893,0.12693668,-0.7754,-0.5464,-0.04740445,41.7256,1.013667426
