Symbol, ADX, BBANDS, BOP, MACD, MOM, RSI, Gain
AA,30.4537,0.1101,-0.7713,-1.1121,-0.0329,44.8496,0.9833
ALGN,36.3413,0.1883,0.0189,3.2427,0.0764,55.4281,0.9909
AMTD,46.1247,0.0635,0.2497,0.6363,0.0321,71.208,1.0206
ANCB,28.6671,0.0296,-0.3047,-0.0434,-0.0093,30.8201,0.9983
ARCB,22.0448,0.1703,-0.3559,-0.8208,0.012,45.8789,0.9659
ASH,20.9672,0.0882,-0.1855,-0.1982,-0.0023,45.0052,0.9869
ATKR,23.5174,0.1432,-0.5,-0.2164,-0.0059,44.7788,0.9156
BA,77.3655,0.0993,0.1708,9.2538,0.0369,70.4089,0.9111
BFIN,17.83,0.0494,0.1357,0.1687,0.0273,62.0643,1.0407
BHGE,24.8174,0.2436,-0.809,-1.3252,0.0274,36.2744,1.0249
BK,26.2924,0.071,0.0534,0.4488,0.0305,51.9825,0.9092
BKU,26.238,0.0589,-0.1816,0.0175,0.0146,59.7943,0.9786
BOKF,22.8546,0.0602,-0.2227,0.5172,0.0143,60.4705,1.0351
CASH,54.7453,0.0202,-0.5867,1.7901,0.0012,75.5593,1.0202
CAT,53.9011,0.1586,-0.3039,0.2524,0.0037,46.8507,0.9525
CIT,30.059,0.1276,0.3954,0.8495,0.0333,65.8072,0.9635
CMC,31.3434,0.2227,0.0793,0.4886,0.0613,65.8049,0.7974
CMO,35.5509,0.0548,-0.0746,-0.0161,-0.0304,35.9205,1.0307
CRVL,19.1355,0.103,-0.4215,-0.787,-0.0184,35.4629,1.0356
CVTI,31.7223,0.1851,-0.6706,-0.4057,0.0089,47.9874,1.139
DHI,59.2892,0.1399,-0.8889,-1.4175,-0.0496,33.4361,1.0362
DIT,36.212,0.0703,0.1413,0.1111,0.0229,50.314,0.9999
DRE,42.4878,0.1164,-0.6541,-0.2795,-0.0253,29.103,1.0601
EBSB,24.5177,0.0449,-0.1429,0.0085,0.0015,51.7654,1.0074
