Symbol, ADX, BBANDS, BOP, MACD, MOM, RSI, Gain
ADBE,37.136,0.2829,0.8189,6.6187,0.128,83.6556,1.1744
AXR,13.8822,0.1091,0.2527,0.0307,0.0323,58.8473,1.0257
CMTL,37.7931,0.1093,0.2989,0.3025,-0.0315,75.008,1.0488
DVMT,52.3172,0.1131,0.8193,1.9015,0.0313,85.7362,1.0623
GWRE,54.6974,0.0124,0.4121,0.1898,-0.0075,67.3611,1.0235
HOFT,37.6925,0.0389,-0.1183,0.4529,-0.0181,63.5822,0.9714
HOME,41.7571,0.1655,-0.6419,-0.5128,-0.0545,41.6987,0.8895
HURC,54.2638,0.1346,0.5896,1.5407,0.0197,85.2628,1.0647
JBL,27.3628,0.0891,-0.164,-0.4001,-0.0109,44.3819,0.9673
MSB,53.9054,0.0484,-0.1178,0.7726,-0.0044,81.7667,0.9643
OMN,31.1725,0.0897,-0.0741,0.3855,0.0063,70.8036,0.9696
PBBI,16.3764,0.0385,-0.2945,0.0322,-0.0019,55.1895,0.9595
PCYG,22.6225,0.2039,-0.4118,-0.37,-0.1095,37.1503,0.9139
PDEX,32.3371,0.1048,0.1724,0.0551,-0.0088,61.7627,1.0203
PSDO,23.7861,0.0905,0.5692,0.1834,0.0053,54.704,1.0446
REVG,16.1412,0.1404,-0.7077,-0.3231,-0.0564,46.9563,0.8996
RH,30.628,0.2542,0.8519,4.5792,0.0923,72.4284,1.2568
RHT,62.9511,0.1349,0.767,2.8166,-0.0003,84.0354,1.0798
SGMA,60.3292,0.1847,0.8643,0.2952,0.0643,73.3567,1.1398
THO,51.5932,0.09,0.7295,3.9781,0.0369,87.6256,1.0649
