Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
ACCO,22.6525,0.133361345,0.5075,0.2372,0.064705882,55.9081,1.06374502
ALL,37.6693,0.036072245,0.1686,0.0084,0.000957458,63.2643,1.02180719
APEN,25.7258,0.131153846,0.4561,-0.007,0.074786325,36.6692,0.809430255
ADM,16.2948,0.059938838,0.3878,0.2535,-0.005551635,50.1752,0.971728972
COHR,32.119,0.163858485,0.0052,3.7424,-0.040022112,50.8202,1.152614683
CMCO,42.652,0.205365725,0.7548,1.3803,0.095642989,81.3868,1.088536201
CNX,17.5174,0.232621015,0.7723,0.5003,0.084533648,61.6421,0.978523095
CORT,62.0994,0.177668394,0.6354,1.0086,0.059170984,81.6429,1.005047956
DVN,33.1508,0.221127758,0.8075,1.3239,0.103677472,61.108,1.011193011
FANG,26.8747,0.127292773,0.6549,1.645,0.050592078,58.0784,1.07184853
ENBL,21.4189,0.122365457,0.5316,0.2039,0.050563204,59.1646,0.954796238
WIRE,18.9351,0.107274149,0.3614,0.8019,0.02892239,57.5291,0.988043478
EOG,20.2012,0.181325202,0.852,2.4683,0.065205706,63.1936,1.033237292
EZPW,21.634,0.101052632,0.3333,0.2984,0.064210526,60.1987,1.068507157
FEYE,35.8132,0.204651163,0.6368,0.5123,-0.002146691,66.3787,0.997109827
HBK,17.5782,0.065183673,0.5875,-0.0224,0.01170068,56.1702,0.993220339
IPGP,78.0197,0.115507403,0.4779,4.468,0.023376202,83.9182,1.17517389
NSP,37.7197,0.117056818,0.8728,1.5696,0.062272727,69.7865,1.05266045
XENT,57.2389,0.104719101,0.0294,-0.3745,-0.053932584,66.0809,0.938582677
FRAC,29.3332,0.361906475,0.8664,0.7091,0.165947242,60.1338,0.925506555
KMPR,37.0115,0.150762264,0.6846,1.49,0.055849057,77.6761,1.196330275
LPX,28.7894,0.120236337,0.317,0.8686,0.061225997,61.1282,0.979555397
LNTH,22.2611,0.100651685,0.2,0.1417,0.023595506,57.1012,1.098901099
LPNT,38.2763,0.057734024,-0.0109,-0.2036,0.012262522,41.7338,0.817258883
LL,45.176,0.129928168,0.2569,0.5946,0.004771678,70.4465,0.91566879
MSBF,45.7364,0.091686275,-0.0129,0.0488,-0.00022409,57.4541,0.971988796
MTSI,21.2116,0.109145931,-0.182,-0.6863,-0.016722708,43.708,0.902230971
MOS,27.9093,0.136776285,0.5757,0.1609,0.050949514,45.1736,1.044708029
NMIH,23.2581,0.239032258,0.56,0.275,0.097580645,62.4968,1.168
BTU,59.5879,0.049755257,-0.0773,0.2389,-0.018407446,66.3547,1.030202456
PXD,48.8628,0.199802088,0.7493,3.0236,0.094794632,48.8523,0.994845361
RRD,23.6914,0.175262136,0.6012,0.1222,0.059417476,44.5615,0.8905804
RRC,49.5667,0.208748084,0.4881,0.3692,0.084312724,44.1486,0.890900196
RCL,38.3647,0.103575165,-0.5398,-0.7725,-0.044626286,57.2615,1.05066264
SHOP,56.3553,0.126917332,0.2942,3.7159,-0.034286205,71.8979,0.875825186
SP,54.4012,0.093711392,0.7184,0.8248,0.050632911,82.4762,0.970755886
S,14.5293,0.171362468,-0.4952,-0.0841,0.007455013,44.189,0.84338896
STAG,26.8543,0.047360757,-0.3256,-0.0001,-0.017473608,51.5405,0.977532097
TPL,56.246,0.058222717,0.0516,9.2084,0.045231378,81.9267,1.04972338
VNOM,16.5988,0.138530043,0.7534,0.4501,0.069742489,65.7715,1.048728814
AEGN,19.4429,0.13338488,0.5552,0.5293,0.053608247,61.1507,1.006369427
