Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
CCF,56.1543,0.061813586,-0.5828,-2.7959,-0.018957346,39.5702,1.182201159
GRIF,25.2557,0.123843478,0.7405,0.6277,0.057507246,69.119,1.06
SAR,18.5495,0.088733826,-0.0054,0.0581,0.042236599,55.3842,0.986270023
NTIC,21.2947,0.091888889,-0.3846,0.012,-0.002777778,58.4602,0.887937951
FHN,19.8387,0.062707373,-0.2391,-0.0947,-0.001382488,46.4867,1.105444126
BCBP,39.9664,0.075788732,-0.5625,-0.2146,0.00915493,34.5913,1.015426573
JCTCF,47.9315,0.045856115,-0.2632,0.1638,0.019315108,66.6772,0.997841727
NFLX,29.0548,0.122176949,-0.3816,-0.217,0.020556255,59.884,1.03637806
CSX,30.4586,0.050265167,0.2684,-0.3856,-0.001004419,47.7513,1.073448003
EDUC,20.3473,0.107247706,0.1939,0.0257,0.004036697,58.634,0.9
NCBS,22.748,0.10247816,0.1549,0.1386,0.022927438,66.9283,1.072033002
PLBC,25.1739,0.047931766,-0.3684,-0.0783,0.000325396,57.7143,1.0353498
PZN,25.498,0.20326284,-0.379,-0.1273,0.001007049,49.4036,1.095356965
TESS,12.7309,0.060996169,-0.1471,-0.1375,-0.007662835,41.484,0.98821042
UBNK,17.9497,0.084253602,-0.5249,-0.058,0.01556196,51.8704,1.053295129
AA,37.1328,0.261478686,0.906,1.8437,0.123001776,80.2439,1.039363114
CATY,16.496,0.100702642,-0.6978,-0.5548,-0.007813378,41.4759,1.146341463
CCNE,13.7564,0.099651822,-0.7053,-0.1323,0.002267206,54.0283,1.117408907
CMA,18.7707,0.096790765,-0.7493,-1.0258,-0.029119769,45.094,1.100344037
CCI,26.0268,0.094062237,0.831,1.9495,0.036090085,71.0926,0.926842832
FBNK,27.5809,0.096048387,-0.434,-0.2366,0.027822581,49.2277,1.090725806
KALU,37.2336,0.049395604,-0.2241,0.7661,0.02014652,72.2828,1.056576943
OVLY,30.5839,0.12406564,-0.5855,-0.0916,-0.042196919,53.6095,1.081587518
TMUS,25.5119,0.032122818,0.7699,0.3408,0.007418953,54.7251,0.962688868
TBK,29.4507,0.048851064,-0.125,0.1984,0.010638298,65.1884,1.143859649
BX,21.9246,0.104084378,-0.2614,-0.2977,0.011494956,53.9958,1.014505893
BDN,14.4079,0.061378112,0.4085,-0.0063,0.011464968,57.4574,1.017908723
CARO,33.0358,0.109483815,0.0443,0.2494,0.04421114,63.6497,1.045997089
EQBK,28.9081,0.017708761,-0.2184,0.1041,0.001640785,60.6894,1.045189504
FPI,42.8208,0.114592179,-0.0716,-0.0194,0.036871508,43.1005,1.008888889
MSFT,43.8216,0.029266973,0.4538,0.3859,0.008790912,69.2222,0.997257158
SASR,23.2036,0.076455435,-0.5971,-0.2985,0.006079341,44.5011,1.069964121
BOCH,22.0609,0.085118483,0.1333,-0.0297,0.026540284,47.7323,1.093896714
