Symbol, Price, ADX, BBANDS, BOP, MACD, MOM, RSI
ADBE,195.64,40.7194,0.105527499488857,0.8191,5.2228,0.014291555919035,70.4003
ALOG,84.55,27.4789,0.0264671791839149,-0.2489,0.128,0.00236546422235364,57.8239
AXR,7.65,15.798,0.11721568627451,0.9726,0.0785,0.0540104575163399,74.3894
BB,12.41,39.4467,0.158501208702659,0.4273,0.2867,-0.0667203867848509,57.1076
BIG,57.74,25.323,0.161291998614479,0.445,1.8275,0.0344648423969518,54.1034
BNED,6.3,25.1971,0.363492063492064,-0.835,-0.1928,-0.134603174603175,39.5631
BRT,11.88,38.8155,0.219377104377104,0.6031,0.5163,-0.0215488215488215,57.0844
CAMP,24.76,38.6182,0.153974151857835,0.7327,0.5813,0.0627625201938611,69.7562
CSPI,15.81,41.6483,0.385572422517394,0.2302,1.4491,0.0250600885515496,62.1209
DVMT,70.9,33.5435,0.3535317348378,-0.4263,-0.6914,-0.225952045133992,34.754
FIZZ,108.35,23.9324,0.179128749423166,0.5702,2.2222,0.0543516382095062,57.4466
GEF,58.3,28.8757,0.0864734133790737,-0.5851,-0.0647,-0.0218181818181818,48.4159
HDS,36.86,22.3104,0.108551275094954,-0.4224,0.1716,-0.00656538252848616,46.9306
HQY,49.85,20.8607,0.0624593781344032,0.5717,0.6252,0.0445336008024072,54.8908
IMKTA,31.45,40.4444,0.202543720190779,-0.2805,0.7,-0.0232114467408585,51.0896
KLXI,68.8,49.9657,0.0815726744186047,0.3784,1.9572,0.0100581395348837,71.9933
KMG,59,40.5166,0.155433898305085,-0.7743,-0.0572,-0.066271186440678,50.3418
LNN,87.8,15.5225,0.11996583143508,-0.0544,0.3147,-0.031503416856492,43.8957
MSB,24.65,57.3755,0.281314401622718,-0.0453,0.6128,-0.14158215010142,51.4776
MU,40.82,34.3277,0.157976482116609,0.3765,-0.213,-0.0232239098481137,48.4732
ODC,36.5,13.1835,0.236942465753425,-0.5737,-0.6326,-0.0846575342465753,34.7612
PAY,17.27,13.7647,0.0897510133178923,-0.0612,-0.0058,-0.0245512449334105,36.0902
REVG,27.91,21.7935,0.239183088498746,-0.8438,0.1129,-0.0865639555714798,44.2344
RH,92.04,35.7033,0.19396566710126,0.3682,2.0509,0.00219469795740982,52.2882
SGH,32.57,56.1098,0.28776788455634,0.3638,1.2353,-0.0300890389929383,51.8045
SGMA,8.8,42.8948,0.260238636363636,-0.5471,-0.2138,-0.00334090909090909,43.7208
TOL,46.4,43.5758,0.176258620689655,-0.2443,0.0333,-0.0995258620689655,48.1225
VALU,19.24,25.4462,0.128284823284823,-0.0168,0.3858,0.0182952182952183,54.5857
WGO,42.75,54.4654,0.52173567251462,-0.7261,-2.004,-0.190643274853801,32.985
