Symbol, Price, ADX, BBANDS, BOP, MACD, MOM, RSI
ADBE,177.33,37.136,0.279439463147803,0.8189,6.6187,0.11482546664411,83.6556
AXR,7.18,13.8822,0.10908077994429,0.2527,0.0307,0.00612813370473538,58.8473
CMTL,21.48,37.7931,0.109469273743017,0.2989,0.3025,-0.0322160148975791,75.008
DVMT,83.88,52.3172,0.111590367191225,0.8193,1.9015,0.0399141630901288,85.7362
ELMD,7.45,37.5695,0.062013422818792,0.0645,0.0681,0.0174496644295302,74.9309
GWRE,77.7,54.6974,0.0127516087516087,0.4121,0.1898,-0.0126898326898327,67.3611
HOFT,47.4,37.6925,0.0389113924050633,-0.1183,0.4529,-0.00337552742616034,63.5822
HOME,20.72,41.7571,0.163783783783784,-0.6419,-0.5128,-0.0439189189189189,41.6987
HURC,45.95,54.2638,0.131107725788901,0.5896,1.5407,0.0400435255712731,85.2628
JBL,28.44,27.3628,0.0885794655414908,-0.164,-0.4001,-0.0138537271448664,44.3819
MGCD,8.56,24.2244,0.132733644859813,-0.0338,0.0679,-0.0446261682242991,54.2535
MSB,23.3,53.9054,0.0467038626609442,-0.1178,0.7726,0.0188841201716738,81.7667
OMN,11.35,31.1725,0.087330396475771,-0.0741,0.3855,0.0211453744493392,70.8036
PBBI,10.6,16.3764,0.038490566037736,-0.2945,0.0322,0.000943396226415095,55.1895
PCYG,10.85,22.6225,0.207705069124424,-0.4118,-0.37,-0.124423963133641,37.1503
PDEX,7.35,32.3371,0.10691156462585,0.1724,0.0551,0.0440816326530612,61.7627
PSDO,14.69,23.7861,0.0912049012933969,0.5692,0.1834,0.00313138189244384,54.704
REVG,26.58,16.1412,0.136320541760722,-0.7077,-0.3231,-0.0592174567343868,46.9563
RH,86.64,30.628,0.263785780240074,0.8519,4.5792,0.103947368421053,72.4284
RHT,120.77,62.9511,0.135010350252546,0.767,2.8166,0.0130661588142751,84.0354
SGMA,9.4,60.3292,0.188829787234042,0.8643,0.2952,0.0836170212765958,73.3567
THO,134.96,51.5932,0.0908698873740367,0.7295,3.9781,0.0288826318909306,87.6256
