TestName, AverageSymbols, AverageGain, December17, Feburary18, Janurary18, March18, November17, October17, September17, SuccessPercent
BBANDS0.06/, 27.86, 1.0166, 0.7586, 1, 0.6806, 0.8571, 0.75, 0.7755, 0.913, 0.819257142857143
BBANDS0.05/, 19.43, 1.0136, 0.7317, 1, 0.7143, 0.8667, 0.75, 0.8387, 0.9032, 0.829228571428572
BBANDS0.07/, 37, 1.0195, 0.7692, 1, 0.6957, 0.8788, 0.6, 0.7273, 0.8983, 0.795614285714286
RSI60/MACD1/ADX20/, 2.29, 0.8775, 0.6923,, 1, 1, 0, 1, 1, 0.670328571428571
RSI60/MACD1/ADX25/, 3.29, 0.8554, 0.625,, 0.6667, 1, 0.5, 0.6, 0.2, 0.5131
RSI60/MACD1/ADX30/, 4, 0.8591, 0.5882,, 0.6, 1, 0.5, 0.6, 0.2, 0.498314285714286
RSI60/MACD1/ADX35/, 4.86, 0.864, 0.6316,, 0.6, 1, 0.5, 0.5789, 0.3333, 0.520542857142857
RSI60/MACD1/ADX40/, 5.43, 0.991, 0.619, 0, 0.6364, 1, 0.5, 0.5714, 0.3333, 0.522871428571429
RSI60/MACD1/ADX45/, 5.43, 0.991, 0.619, 0, 0.6364, 1, 0.5, 0.5714, 0.3333, 0.522871428571429
RSI60/MACD1/ADX50/, 5.43, 0.991, 0.619, 0, 0.6364, 1, 0.5, 0.5714, 0.3333, 0.522871428571429
MACD1/ADX20/, 4.29, 1.0031, 0.6667, 1, 0.6667, 1, 0, 0.6111, 0.5, 0.634928571428571
MACD1/ADX25/, 8.29, 1.001, 0.6154, 1, 0.5556, 1, 0.5, 0.561, 0.4615, 0.6705
MACD1/ADX30/, 11.14, 1.0042, 0.5714, 1, 0.52, 1, 0.5, 0.5932, 0.4667, 0.664471428571429
MACD1/ADX35/, 14.57, 1.0042, 0.5745, 1, 0.5588, 0.6667, 0.3333, 0.5821, 0.5556, 0.610142857142857
MACD1/ADX40/, 18, 0.9932, 0.6038, 0.5, 0.5526, 0.625, 0.5, 0.625, 0.619, 0.575057142857143
MACD1/ADX45/, 19.57, 0.9936, 0.614, 0.5, 0.5238, 0.625, 0.5, 0.6292, 0.6364, 0.575485714285714
MACD1/ADX50/, 20.86, 0.9939, 0.6271, 0.5, 0.5349, 0.6667, 0.5, 0.6374, 0.6538, 0.588557142857143
RSI60/MACD2/ADX20/, 5, 0.8665, 0.6111,, 0.8, 1, 0, 0.625, 0.9091, 0.5636
RSI60/MACD2/ADX25/, 8.57, 1.0298, 0.5833, 1, 0.75, 1, 0.5, 0.5652, 0.6667, 0.7236
RSI60/MACD2/ADX30/, 12.29, 1.0164, 0.5455, 0.3333, 0.7308, 0.9, 0.5, 0.5938, 0.7037, 0.6153
RSI60/MACD2/ADX35/, 14, 1.0166, 0.5556, 0.3333, 0.7419, 0.9231, 0.5, 0.5833, 0.7143, 0.621642857142857
RSI60/MACD2/ADX40/, 15.29, 1.0067, 0.525, 0.1667, 0.7429, 0.8235, 0.5, 0.5854, 0.7143, 0.579685714285714
RSI60/MACD2/ADX45/, 15.71, 1.0065, 0.5366, 0.1667, 0.7222, 0.7895, 0.5, 0.5952, 0.7143, 0.574928571428571
RSI60/MACD2/ADX50/, 16, 1.0064, 0.5349, 0.1667, 0.7222, 0.7619, 0.5, 0.5814, 0.7143, 0.568771428571429
RSI60/MACD1/, 20.86, 1.0097, 0.5714, 0.3333, 0.6792, 0.7692, 0.6667, 0.6042, 0.7576, 0.625942857142857
MACD2/ADX20/, 12.29, 1.0126, 0.6333, 0.75, 0.625, 0.8182, 0.5, 0.5, 0.8846, 0.673014285714286
MACD2/ADX25/, 24.86, 1.0087, 0.6538, 0.5714, 0.5636, 0.7826, 0.75, 0.5128, 0.7857, 0.659985714285714
MACD2/ADX30/, 37.14, 1.0122, 0.6184, 0.5455, 0.618, 0.7222, 0.8, 0.569, 0.7778, 0.664414285714286
MACD2/ADX35/, 47.57, 1.0117, 0.6162, 0.6154, 0.6441, 0.6923, 0.7143, 0.5802, 0.8161, 0.668371428571429
MACD2/ADX40/, 57.43, 1.0115, 0.6364, 0.5294, 0.6496, 0.6721, 0.75, 0.6306, 0.8351, 0.671885714285714
MACD2/ADX45/, 62.71, 1.0133, 0.6484, 0.4545, 0.6216, 0.6567, 0.7778, 0.6554, 0.8447, 0.665585714285714
MACD2/ADX50/, 67.57, 1.0137, 0.6541, 0.4348, 0.6433, 0.68, 0.7778, 0.6559, 0.8482, 0.670585714285714
MACD1/, 87.86, 1.0144, 0.6744, 0.5, 0.6621, 0.72, 0.7333, 0.6488, 0.863, 0.685942857142857
RSI60/MACD3/ADX20/, 6, 0.8672, 0.619,, 0.6667, 1, 0.5, 0.6364, 0.9167, 0.619828571428571
