Test Name, Success%, Total, Success, AvgGain
BBANDS0.06/,0.7586,58,44,1.01304827586207
BBANDS0.05/,0.7317,41,30,0.996287804878049
BBANDS0.07/,0.7692,78,60,1.01527948717949
RSI60/MACD1/ADX20/,0.6923,13,9,1.02069230769231
RSI60/MACD1/ADX25/,0.625,16,10,1.011025
RSI60/MACD1/ADX30/,0.5882,17,10,1.00897647058824
RSI60/MACD1/ADX35/,0.6316,19,12,1.01924736842105
RSI60/MACD1/ADX40/,0.619,21,13,1.02187142857143
RSI60/MACD1/ADX45/,0.619,21,13,1.02187142857143
RSI60/MACD1/ADX50/,0.619,21,13,1.02187142857143
MACD1/ADX20/,0.6667,18,12,1.01695
MACD1/ADX25/,0.6154,26,16,1.00515769230769
MACD1/ADX30/,0.5714,35,20,1.01511428571429
MACD1/ADX35/,0.5745,47,27,1.01409574468085
MACD1/ADX40/,0.6038,53,32,1.01973396226415
MACD1/ADX45/,0.614,57,35,1.02054912280702
MACD1/ADX50/,0.6271,59,37,1.02187457627119
RSI60/MACD2/ADX20/,0.6111,18,11,1.01013888888889
RSI60/MACD2/ADX25/,0.5833,24,14,1.0034875
RSI60/MACD2/ADX30/,0.5455,33,18,1.0003303030303
RSI60/MACD2/ADX35/,0.5556,36,20,1.00533611111111
RSI60/MACD2/ADX40/,0.525,40,21,1.00464
RSI60/MACD2/ADX45/,0.5366,41,22,1.00494390243902
RSI60/MACD2/ADX50/,0.5349,43,23,1.00483255813953
RSI60/MACD1/,0.5714,56,32,1.01817142857143
MACD2/ADX20/,0.6333,30,19,1.01353333333333
MACD2/ADX25/,0.6538,52,34,1.00734807692308
MACD2/ADX30/,0.6184,76,47,1.00795921052632
MACD2/ADX35/,0.6162,99,61,1.00741616161616
MACD2/ADX40/,0.6364,121,77,1.01264380165289
MACD2/ADX45/,0.6484,128,83,1.0138125
MACD2/ADX50/,0.6541,133,87,1.01487744360902
MACD1/,0.6744,172,116,1.01358139534884
RSI60/MACD3/ADX20/,0.619,21,13,1.00931904761905
RSI60/MACD3/ADX25/,0.6452,31,20,1.01852258064516
RSI60/MACD3/ADX30/,0.6098,41,25,1.01320487804878
RSI60/MACD3/ADX35/,0.6042,48,29,1.01911875
RSI60/MACD3/ADX40/,0.5769,52,30,1.01752307692308
RSI60/MACD3/ADX45/,0.5849,53,31,1.01751509433962
RSI60/MACD3/ADX50/,0.5789,57,33,1.01694210526316
RSI60/MACD2/,0.569,58,33,1.01612068965517
MACD3/ADX20/,0.7,40,28,1.011655
MACD3/ADX25/,0.7164,67,48,1.01430895522388
MACD3/ADX30/,0.6737,95,64,1.01346526315789
MACD3/ADX35/,0.6557,122,80,1.01314426229508
MACD3/ADX40/,0.6644,149,99,1.01670469798658
MACD3/ADX45/,0.6792,159,108,1.01732578616352
MACD3/ADX50/,0.6802,172,117,1.01798023255814
MACD2/,0.6888,196,135,1.01453418367347
RSI60/ADX20/,0.6364,22,14,1.01125
RSI60/ADX25/,0.6765,34,23,1.0194
