Test Name, Success%, Total, Success, AvgGain
ADX45/,0.48,25,12,0.964852
ADX50/,0.4615,26,12,0.964784615384615
RSI60/MACD3/BOP0.07/BBANDS0.07/ADX30/,1,1,1,0.9983
RSI60/MACD3/BOP0.07/BBANDS0.07/ADX35/,1,1,1,0.9983
RSI60/MACD3/BOP0.07/BBANDS0.07/ADX40/,1,1,1,0.9983
RSI60/MACD3/BOP0.07/BBANDS0.07/ADX45/,1,1,1,0.9983
RSI60/MACD3/BOP0.07/BBANDS0.07/ADX50/,1,1,1,0.9983
RSI60/MACD3/BOP0.07/BBANDS0.06/,1,1,1,0.9983
RSI60/MACD3/BOP0.07/BBANDS0.05/,1,1,1,0.9983
RSI60/MACD3/BOP0.07/BBANDS0.04/,1,1,1,0.9983
RSI60/MACD3/BOP0.07/BBANDS0.03/,1,1,1,0.9983
RSI60/MACD3/BOP0.05/,0.5,2,1,0.96365
RSI60/MACD3/BOP0.03/,0.5,2,1,0.96365
RSI60/MACD3/BOP0.01/,0.5,2,1,0.96365
RSI60/MACD3/BOP-0.01/,0.5,2,1,0.96365
RSI60/MACD3/BOP-0.03/,1,1,1,0.9983
RSI60/MACD3/BOP-0.05/,1,1,1,0.9983
RSI60/MACD3/BOP-0.07/,1,1,1,0.9983
RSI60/MACD2/,0.2857,7,2,0.952514285714286
RSI60/MACD1/,0.3333,6,2,0.955
RSI60/MACD0/,1,1,1,0.9983
MACD3/BOP0.07/BBANDS0.07/ADX30/,1,1,1,0.9983
MACD3/BOP0.07/BBANDS0.07/ADX35/,1,1,1,0.9983
MACD3/BOP0.07/BBANDS0.07/ADX40/,1,1,1,0.9983
MACD3/BOP0.07/BBANDS0.07/ADX45/,1,1,1,0.9983
MACD3/BOP0.07/BBANDS0.07/ADX50/,1,1,1,0.9983
MACD3/BOP0.07/BBANDS0.06/,1,1,1,0.9983
MACD3/BOP0.07/BBANDS0.05/,1,1,1,0.9983
MACD3/BOP0.07/BBANDS0.04/,1,1,1,0.9983
