Test Name, Success%, Total, Success, AvgGain
RSI35/MOM0/MACD3/BOP0.05/ADX25/,0,2,0,0.918
RSI35/MOM0/MACD3/BOP0.05/ADX30/,0,2,0,0.918
RSI35/MOM0/MACD3/BOP0.05/ADX35/,0,2,0,0.918
RSI35/MOM0/MACD3/BOP0.05/ADX40/,0,2,0,0.918
RSI35/MOM0/MACD3/BOP0.05/ADX45/,0,2,0,0.918
RSI35/MOM0/MACD3/BOP0.05/ADX50/,0,2,0,0.918
RSI35/MOM0/MACD3/BOP0.03/,0.3333,3,1,0.946566666666667
RSI35/MOM0/MACD3/BOP0.01/,0.3333,3,1,0.946566666666667
RSI35/MOM0/MACD3/BOP-0.01/,0.3333,3,1,0.946566666666667
RSI35/MOM0/MACD3/BOP-0.03/,0.3333,3,1,0.946566666666667
RSI35/MOM0/MACD3/BOP-0.05/,0.3333,3,1,0.946566666666667
RSI35/MOM0/MACD3/BOP-0.07/,0.3333,3,1,0.946566666666667
RSI35/MOM0/MACD2/,0.3333,3,1,0.946566666666667
RSI35/MOM0/MACD1/,0.3333,3,1,0.946566666666667
RSI35/MOM0/MACD0/,0.3333,3,1,0.946566666666667
RSI35/MOM0/MACD-1/,0,2,0,0.918
RSI40/,0.7692,26,20,1.02278846153846
RSI45/,0.7447,47,35,1.0359085106383
RSI50/,0.7143,84,60,1.03122261904762
RSI55/,0.7143,119,85,1.03650168067227
RSI60/,0.6959,148,103,1.03565337837838
MOM0/MACD3/BOP0.05/ADX25/,0.5294,17,9,1.00793529411765
MOM0/MACD3/BOP0.05/ADX30/,0.6,25,15,1.019436
MOM0/MACD3/BOP0.05/ADX35/,0.6364,33,21,1.01997272727273
MOM0/MACD3/BOP0.05/ADX40/,0.6667,36,24,1.02078333333333
MOM0/MACD3/BOP0.05/ADX45/,0.625,40,25,1.016675
MOM0/MACD3/BOP0.05/ADX50/,0.6341,41,26,1.01669024390244
MOM0/MACD3/BOP0.03/,0.6892,74,51,1.02408783783784
MOM0/MACD3/BOP0.01/,0.6849,73,50,1.02331095890411
