Test Name, Success%, Total, Success, AvgGain
RSI45/MOM0/MACD3/BOP0.05/ADX35/,0.3333,6,2,0.968933333333333
RSI45/MOM0/MACD3/BOP0.05/ADX40/,0.3333,6,2,0.968933333333333
RSI45/MOM0/MACD3/BOP0.05/ADX45/,0.3333,6,2,0.968933333333333
RSI45/MOM0/MACD3/BOP0.05/ADX50/,0.4286,7,3,0.976114285714286
RSI45/MOM0/MACD3/BOP0.03/,0.6,10,6,0.98577
RSI45/MOM0/MACD3/BOP0.01/,0.5556,9,5,0.981033333333333
RSI45/MOM0/MACD3/BOP-0.01/,0.5556,9,5,0.981033333333333
RSI45/MOM0/MACD3/BOP-0.03/,0.625,8,5,0.9813375
RSI45/MOM0/MACD3/BOP-0.05/,0.625,8,5,0.9813375
RSI45/MOM0/MACD3/BOP-0.07/,0.625,8,5,0.9813375
RSI45/MOM0/MACD2/,0.6,10,6,0.98577
RSI45/MOM0/MACD1/,0.6,10,6,0.98577
RSI45/MOM0/MACD0/,0.6667,9,6,1.00022222222222
RSI45/MOM0/MACD-1/,0.5,2,1,0.98035
RSI50/,0.7255,51,37,1.01213529411765
RSI55/,0.7183,71,51,1.00818591549296
RSI60/,0.7381,84,62,1.00834642857143
MOM0/MACD3/BOP0.05/ADX35/,0.6842,19,13,0.999847368421052
MOM0/MACD3/BOP0.05/ADX40/,0.7,20,14,1.01935
MOM0/MACD3/BOP0.05/ADX45/,0.6522,23,15,1.01620869565217
MOM0/MACD3/BOP0.05/ADX50/,0.68,25,17,1.017744
MOM0/MACD3/BOP0.03/,0.775,40,31,1.0220425
MOM0/MACD3/BOP0.01/,0.7692,39,30,1.02187948717949
MOM0/MACD3/BOP-0.01/,0.7692,39,30,1.02187948717949
MOM0/MACD3/BOP-0.03/,0.7895,38,30,1.02301842105263
MOM0/MACD3/BOP-0.05/,0.7895,38,30,1.02301842105263
MOM0/MACD3/BOP-0.07/,0.7895,38,30,1.02301842105263
MOM0/MACD2/,0.775,40,31,1.0220425
MOM0/MACD1/,0.775,40,31,1.0220425
MOM0/MACD0/,0.7812,32,25,1.0178625
MOM0/MACD-1/,0.6667,6,4,1.00245
RSI45/MACD3/BOP0.05/ADX35/,0.4545,11,5,0.982645454545454
RSI45/MACD3/BOP0.05/ADX40/,0.4545,11,5,0.982645454545454
RSI45/MACD3/BOP0.05/ADX45/,0.4545,11,5,0.982645454545454
RSI45/MACD3/BOP0.05/ADX50/,0.5,12,6,0.985691666666667
RSI45/MACD3/BOP0.03/,0.6,15,9,0.990213333333333
RSI45/MACD3/BOP0.01/,0.5714,14,8,0.987485714285714
RSI45/MACD3/BOP-0.01/,0.5714,14,8,0.987485714285714
RSI45/MACD3/BOP-0.03/,0.6154,13,8,0.988169230769231
RSI45/MACD3/BOP-0.05/,0.6154,13,8,0.988169230769231
RSI45/MACD3/BOP-0.07/,0.6154,13,8,0.988169230769231
RSI45/MACD2/,0.5625,16,9,0.98825625
RSI45/MACD1/,0.5625,16,9,0.98825625
RSI45/MACD0/,0.6429,14,9,0.999821428571429
RSI45/MACD-1/,0.6667,3,2,0.9952
MACD3/BOP0.05/ADX35/,0.7073,41,29,1.00380243902439
MACD3/BOP0.05/ADX40/,0.7021,47,33,1.01126170212766
MACD3/BOP0.05/ADX45/,0.6731,52,35,1.00941730769231
MACD3/BOP0.05/ADX50/,0.6786,56,38,1.00943928571429
MACD3/BOP0.03/,0.7561,82,62,1.01505609756098
MACD3/BOP0.01/,0.7531,81,61,1.01489135802469
MACD3/BOP-0.01/,0.7531,81,61,1.01489135802469
MACD3/BOP-0.03/,0.7595,79,60,1.01486835443038
MACD3/BOP-0.05/,0.7532,77,58,1.01453246753247
MACD3/BOP-0.07/,0.7532,77,58,1.01453246753247
MACD2/,0.729,107,78,1.00929719626168
MACD1/,0.72,100,72,1.008504
MACD0/,0.7636,55,42,1.01645454545455
MACD-1/,0.75,8,6,1.0156625
RSI45/MOM0/BOP0.05/ADX35/,0.3333,6,2,0.968933333333333
RSI45/MOM0/BOP0.05/ADX40/,0.3333,6,2,0.968933333333333
RSI45/MOM0/BOP0.05/ADX45/,0.3333,6,2,0.968933333333333
RSI45/MOM0/BOP0.05/ADX50/,0.4286,7,3,0.976114285714286
RSI45/MOM0/BOP0.03/,0.6,10,6,0.98577
RSI45/MOM0/BOP0.01/,0.5556,9,5,0.981033333333333
RSI45/MOM0/BOP-0.01/,0.5556,9,5,0.981033333333333
RSI45/MOM0/BOP-0.03/,0.625,8,5,0.9813375
RSI45/MOM0/BOP-0.05/,0.625,8,5,0.9813375
RSI45/MOM0/BOP-0.07/,0.625,8,5,0.9813375
MOM0/BOP0.05/ADX35/,0.6842,19,13,0.999847368421052
MOM0/BOP0.05/ADX40/,0.7,20,14,1.01935
