Test Name, Success%, Total, Success, AvgGain
ADX40/,0.7692,13,10,0.999292307692308
ADX45/,0.7857,14,11,1.02349285714286
ADX50/,0.7857,14,11,1.02349285714286
RSI60/MACD1/ADX20/,0,1,0,0.9734
RSI60/MACD1/ADX25/,0.5,2,1,1.0237
RSI60/MACD1/ADX30/,0.5,2,1,1.0237
RSI60/MACD1/ADX35/,0.5,2,1,1.0237
RSI60/MACD1/ADX40/,0.5,2,1,1.0237
RSI60/MACD1/ADX45/,0.5,2,1,1.0237
RSI60/MACD1/ADX50/,0.5,2,1,1.0237
MACD1/ADX20/,0,1,0,0.9734
MACD1/ADX25/,0.5,2,1,1.0237
MACD1/ADX30/,0.5,2,1,1.0237
MACD1/ADX35/,0.3333,3,1,0.9797
MACD1/ADX40/,0.5,4,2,0.983125
MACD1/ADX45/,0.5,4,2,0.983125
MACD1/ADX50/,0.5,4,2,0.983125
RSI60/MACD2/ADX20/,0,1,0,0.9734
RSI60/MACD2/ADX25/,0.5,2,1,1.0237
RSI60/MACD2/ADX30/,0.5,2,1,1.0237
RSI60/MACD2/ADX35/,0.5,2,1,1.0237
RSI60/MACD2/ADX40/,0.5,2,1,1.0237
RSI60/MACD2/ADX45/,0.5,2,1,1.0237
RSI60/MACD2/ADX50/,0.5,2,1,1.0237
RSI60/MACD1/,0.6667,3,2,1.02053333333333
MACD2/ADX20/,0.5,2,1,1.0216
MACD2/ADX25/,0.75,4,3,1.03265
MACD2/ADX30/,0.8,5,4,1.02884
MACD2/ADX35/,0.7143,7,5,1.00324285714286
MACD2/ADX40/,0.75,8,6,1.0020125
MACD2/ADX45/,0.7778,9,7,1.03935555555556
MACD2/ADX50/,0.7778,9,7,1.03935555555556
MACD1/,0.7333,15,11,1.01445333333333
RSI60/MACD3/ADX20/,0.5,2,1,0.9938
RSI60/MACD3/ADX25/,0.6667,3,2,1.02053333333333
RSI60/MACD3/ADX30/,0.6667,3,2,1.02053333333333
RSI60/MACD3/ADX35/,0.6667,3,2,1.02053333333333
RSI60/MACD3/ADX40/,0.6667,3,2,1.02053333333333
RSI60/MACD3/ADX45/,0.6667,3,2,1.02053333333333
RSI60/MACD3/ADX50/,0.6667,3,2,1.02053333333333
RSI60/MACD2/,0.6667,3,2,1.02053333333333
MACD3/ADX20/,0.6667,3,2,1.01913333333333
MACD3/ADX25/,0.8,5,4,1.02896
MACD3/ADX30/,0.8333,6,5,1.0264
MACD3/ADX35/,0.75,8,6,1.0046125
MACD3/ADX40/,0.7273,11,8,0.986936363636364
MACD3/ADX45/,0.75,12,9,1.0162
MACD3/ADX50/,0.75,12,9,1.0162
MACD2/,0.7059,17,12,1.00869411764706
RSI60/ADX20/,0.5,2,1,0.9938
RSI60/ADX25/,0.6667,3,2,1.02053333333333
RSI60/ADX30/,0.6667,3,2,1.02053333333333
RSI60/ADX35/,0.6667,3,2,1.02053333333333
RSI60/ADX40/,0.6667,3,2,1.02053333333333
RSI60/ADX45/,0.6667,3,2,1.02053333333333
RSI60/ADX50/,0.6667,3,2,1.02053333333333
ADX20/,0.6667,3,2,1.01913333333333
ADX25/,0.8,5,4,1.02896
ADX30/,0.8333,6,5,1.0264
ADX35/,0.7778,9,7,1.01607777777778
RSI60/MACD3/,0.6667,3,2,1.02053333333333
MACD3/,0.7222,18,13,1.01064444444444
RSI60/,0.8571,7,6,1.07092857142857
MOM0/MACD1/ADX40/,1,1,1,0.9934
MOM0/MACD1/ADX45/,1,1,1,0.9934
MOM0/MACD1/ADX50/,1,1,1,0.9934
MOM0/MACD2/ADX40/,1,4,4,1.02255
MOM0/MACD2/ADX45/,1,5,5,1.08566
MOM0/MACD2/ADX50/,1,5,5,1.08566
MOM0/MACD1/,0.8571,7,6,1.06158571428571
MOM0/MACD3/ADX40/,1,5,5,1.03104
MOM0/MACD3/ADX45/,1,6,6,1.08221666666667
MOM0/MACD3/ADX50/,1,6,6,1.08221666666667
MOM0/MACD2/,0.8571,7,6,1.06158571428571
MOM0/ADX40/,1,5,5,1.03104
MOM0/ADX45/,1,6,6,1.08221666666667
MOM0/ADX50/,1,6,6,1.08221666666667
MOM0/MACD3/,0.8571,7,6,1.06158571428571
MOM0/,0.8571,7,6,1.06158571428571
MACD3/BOP0.07/BBANDS0.07/ADX40/,0.6667,3,2,0.946733333333333
MACD3/BOP0.07/BBANDS0.07/ADX45/,0.6667,3,2,0.946733333333333
MACD3/BOP0.07/BBANDS0.07/ADX50/,0.6667,3,2,0.946733333333333
BOP0.07/BBANDS0.07/ADX40/,0.6667,3,2,0.946733333333333
BOP0.07/BBANDS0.07/ADX45/,0.6667,3,2,0.946733333333333
BOP0.07/BBANDS0.07/ADX50/,0.6667,3,2,0.946733333333333
MACD3/BBANDS0.07/ADX40/,0.6667,3,2,0.946733333333333
MACD3/BBANDS0.07/ADX45/,0.6667,3,2,0.946733333333333
MACD3/BBANDS0.07/ADX50/,0.6667,3,2,0.946733333333333
BBANDS0.07/ADX40/,0.6667,3,2,0.946733333333333
BBANDS0.07/ADX45/,0.6667,3,2,0.946733333333333
BBANDS0.07/ADX50/,0.6667,3,2,0.946733333333333
MACD3/BOP0.07/ADX40/,0.8571,7,6,0.989114285714286
MACD3/BOP0.07/ADX45/,0.875,8,7,1.0327375
MACD3/BOP0.07/ADX50/,0.875,8,7,1.0327375
BOP0.07/ADX40/,0.8571,7,6,0.989114285714286
BOP0.07/ADX45/,0.875,8,7,1.0327375
BOP0.07/ADX50/,0.875,8,7,1.0327375
MACD3/BOP0.07/BBANDS0.07/,0.75,4,3,0.9683
BOP0.07/BBANDS0.07/,0.75,4,3,0.9683
