Test Name, Success%, Total, Success, AvgGain
MOM0/MACD1/ADX40/,0,3,0,0.9004
MOM0/MACD1/ADX45/,0.25,4,1,0.940975
MOM0/MACD1/ADX50/,0.25,4,1,0.940975
MACD1/ADX40/,0.625,80,50,1.00896
MACD1/ADX45/,0.6292,89,56,1.00868426966292
MACD1/ADX50/,0.6374,91,58,1.00897142857143
MOM0/MACD2/ADX40/,0.4333,30,13,0.960766666666667
MOM0/MACD2/ADX45/,0.5143,35,18,0.972694285714286
MOM0/MACD2/ADX50/,0.5128,39,20,0.985069230769231
MOM0/MACD1/,0.623,61,38,0.991486885245901
MACD2/ADX40/,0.6306,157,99,1.00071974522293
MACD2/ADX45/,0.6554,177,116,1.00484124293785
MACD2/ADX50/,0.6559,186,122,1.00709247311828
MACD1/,0.6488,205,133,1.00542975609756
MOM0/MACD3/ADX40/,0.6122,49,30,0.98344693877551
MOM0/MACD3/ADX45/,0.6491,57,37,0.991066666666667
MOM0/MACD3/ADX50/,0.6452,62,40,0.998101612903226
MOM0/MACD2/,0.6462,65,42,0.995049230769231
MACD3/ADX40/,0.6595,185,122,1.00269081081081
MACD3/ADX45/,0.681,210,143,1.00662047619048
MACD3/ADX50/,0.6833,221,151,1.00840995475113
MACD2/,0.6844,244,167,1.01059754098361
MOM0/ADX40/,0.62,50,31,0.98683
MOM0/ADX45/,0.6552,58,38,0.993851724137931
MOM0/ADX50/,0.6508,63,41,1.00055396825397
ADX40/,0.6684,190,127,1.00450526315789
ADX45/,0.6912,217,150,1.00900552995392
ADX50/,0.6957,230,160,1.01109956521739
MOM0/MACD3/,0.6567,67,44,0.998314925373134
MACD3/,0.6926,257,178,1.01198949416342
MOM0/,0.6618,68,45,1.00058382352941
RSI60/MACD1/ADX25/,0.6,10,6,0.9679
RSI60/MACD1/ADX30/,0.6,15,9,0.983606666666667
RSI60/MACD1/ADX35/,0.5789,19,11,0.976478947368421
RSI60/MACD1/ADX40/,0.5714,21,12,0.976171428571429
RSI60/MACD1/ADX45/,0.5714,21,12,0.976171428571429
RSI60/MACD1/ADX50/,0.5714,21,12,0.976171428571429
RSI60/MACD0/,0.625,8,5,0.9782375
RSI55/MACD1/ADX25/,0.6,5,3,0.96002
RSI55/MACD1/ADX30/,0.5833,12,7,0.990975
RSI55/MACD1/ADX35/,0.5294,17,9,0.980617647058824
RSI55/MACD1/ADX40/,0.5263,19,10,0.980636842105263
RSI55/MACD1/ADX45/,0.5263,19,10,0.980636842105263
RSI55/MACD1/ADX50/,0.5263,19,10,0.980636842105263
RSI55/MACD0/,0.4,15,6,0.94328
RSI60/,0.5577,104,58,0.984454807692308
MACD1/ADX25/,0.561,41,23,0.995209756097561
MACD1/ADX30/,0.5932,59,35,1.00368983050847
MACD1/ADX35/,0.5821,67,39,1.00255223880597
MACD0/,0.5192,52,27,0.973971153846154
RSI60/MACD2/ADX25/,0.5652,23,13,0.975173913043478
RSI60/MACD2/ADX30/,0.5938,32,19,0.986203125
RSI60/MACD2/ADX35/,0.5833,36,21,0.982152777777778
RSI60/MACD2/ADX40/,0.5854,41,24,0.983834146341463
RSI60/MACD2/ADX45/,0.5952,42,25,0.987154761904762
RSI60/MACD2/ADX50/,0.5814,43,25,0.986802325581395
RSI60/MACD1/,0.6042,48,29,0.99098125
RSI55/MACD2/ADX25/,0.4375,16,7,0.956875
RSI55/MACD2/ADX30/,0.5357,28,15,0.974060714285714
RSI55/MACD2/ADX35/,0.5152,33,17,0.971287878787879
