Test Name, Success%, Total, Success, AvgGain
MOM0/MACD2/BBANDS0.07/ADX35/,1,2,2,1.1007
MOM0/MACD2/BBANDS0.07/ADX40/,1,2,2,1.1007
MOM0/MACD2/BBANDS0.07/ADX45/,1,2,2,1.1007
MOM0/MACD2/BBANDS0.07/ADX50/,1,2,2,1.1007
MOM0/MACD2/BBANDS0.06/,1,2,2,1.1007
MOM0/MACD2/BBANDS0.05/,1,1,1,1.128
MOM0/MACD1/,0.8889,54,48,1.0484037037037
MACD2/BBANDS0.07/ADX35/,0.8333,12,10,1.04269166666667
MACD2/BBANDS0.07/ADX40/,0.8462,13,11,1.04425384615385
MACD2/BBANDS0.07/ADX45/,0.8824,17,15,1.03111764705882
MACD2/BBANDS0.07/ADX50/,0.8947,19,17,1.03104210526316
MACD2/BBANDS0.06/,0.8889,18,16,1.03330555555556
MACD2/BBANDS0.05/,0.8333,12,10,1.035875
MACD1/,0.863,146,126,1.05239246575343
MOM0/MACD3/BBANDS0.07/ADX35/,0.9412,17,16,1.04744117647059
MOM0/MACD3/BBANDS0.07/ADX40/,0.9,20,18,1.04119
MOM0/MACD3/BBANDS0.07/ADX45/,0.9,20,18,1.04119
MOM0/MACD3/BBANDS0.07/ADX50/,0.9048,21,19,1.04007619047619
MOM0/MACD3/BBANDS0.06/,0.9444,18,17,1.04183888888889
MOM0/MACD3/BBANDS0.05/,1,12,12,1.04825833333333
MOM0/MACD2/,0.8889,54,48,1.0484037037037
MACD3/BBANDS0.07/ADX35/,0.8857,35,31,1.04329428571429
MACD3/BBANDS0.07/ADX40/,0.878,41,36,1.04257317073171
MACD3/BBANDS0.07/ADX45/,0.8889,45,40,1.03776
MACD3/BBANDS0.07/ADX50/,0.902,51,46,1.03684901960784
MACD3/BBANDS0.06/,0.9111,45,41,1.04035333333333
MACD3/BBANDS0.05/,0.9,30,27,1.03767333333333
MACD2/,0.8509,161,137,1.04760310559006
MOM0/BBANDS0.07/ADX35/,0.9444,18,17,1.04537777777778
MOM0/BBANDS0.07/ADX40/,0.9048,21,19,1.03971904761905
MOM0/BBANDS0.07/ADX45/,0.9048,21,19,1.03971904761905
MOM0/BBANDS0.07/ADX50/,0.9091,22,20,1.03872272727273
MOM0/BBANDS0.06/,0.9474,19,18,1.04017894736842
MOM0/BBANDS0.05/,1,13,13,1.04533846153846
BBANDS0.07/ADX35/,0.8889,36,32,1.04237777777778
BBANDS0.07/ADX40/,0.881,42,37,1.04180476190476
BBANDS0.07/ADX45/,0.8913,46,41,1.03716304347826
BBANDS0.07/ADX50/,0.9038,52,47,1.03633846153846
BBANDS0.06/,0.913,46,42,1.0397
BBANDS0.05/,0.9032,31,28,1.03679032258064
MOM0/MACD2/ADX35/,0.9615,26,25,1.07242307692308
MOM0/MACD2/ADX40/,0.9643,28,27,1.07646785714286
MOM0/MACD2/ADX45/,0.9655,29,28,1.07655172413793
MOM0/MACD2/ADX50/,0.9333,30,28,1.06481666666667
MACD2/ADX35/,0.8161,87,71,1.0478
MACD2/ADX40/,0.8351,97,81,1.05270412371134
MACD2/ADX45/,0.8447,103,87,1.05052815533981
MACD2/ADX50/,0.8482,112,95,1.04782857142857
MOM0/MACD3/ADX35/,0.9512,41,39,1.06068536585366
MOM0/MACD3/ADX40/,0.9348,46,43,1.06007608695652
MOM0/MACD3/ADX45/,0.9362,47,44,1.06047659574468
MOM0/MACD3/ADX50/,0.9184,49,45,1.05274897959184
MACD3/ADX35/,0.8288,111,92,1.04624414414414
MACD3/ADX40/,0.8413,126,106,1.04963492063492
MACD3/ADX45/,0.8485,132,112,1.04807651515152
MACD3/ADX50/,0.8552,145,124,1.04564
MOM0/ADX35/,0.9524,42,40,1.05948571428571
MOM0/ADX40/,0.9362,47,44,1.0590170212766
MOM0/ADX45/,0.9375,48,45,1.05943125
MOM0/ADX50/,0.92,50,46,1.0519
ADX35/,0.8304,112,93,1.04592321428571
ADX40/,0.8425,127,107,1.04932519685039
ADX45/,0.8496,133,113,1.04779248120301
ADX50/,0.8562,146,125,1.04539794520548
MOM0/MACD2/BBANDS0.07/,1,2,2,1.1007
MACD2/BBANDS0.07/,0.8571,21,18,1.02975714285714
MOM0/MACD3/BBANDS0.07/,0.913,23,21,1.04399565217391
MACD3/BBANDS0.07/,0.8966,58,52,1.04255172413793
MOM0/BBANDS0.07/,0.9167,24,22,1.04259166666667
BBANDS0.07/,0.8983,59,53,1.04200508474576
MOM0/MACD3/,0.8889,54,48,1.0484037037037
MACD3/,0.8364,165,138,1.04571696969697
MOM0/,0.8909,55,49,1.04771090909091
MACD1/ADX20/,0.5,2,1,0.97145
MACD1/ADX25/,0.4615,13,6,0.981146153846154
MACD1/ADX30/,0.4667,15,7,0.982566666666667
MACD1/ADX35/,0.5556,18,10,1.00628888888889
MACD1/ADX40/,0.619,21,13,1.01675238095238
MACD1/ADX45/,0.6364,22,14,1.01869545454545
MACD1/ADX50/,0.6538,26,17,1.01439615384615
MACD2/ADX20/,0.8846,26,23,1.04476153846154
MACD2/ADX25/,0.7857,56,44,1.03946071428571
MACD2/ADX30/,0.7778,72,56,1.0356625
MACD3/ADX20/,0.9091,33,30,1.04889090909091
MACD3/ADX25/,0.8088,68,55,1.03836323529412
MACD3/ADX30/,0.8,95,76,1.03691052631579
ADX20/,0.9091,33,30,1.04889090909091
ADX25/,0.8088,68,55,1.03836323529412
ADX30/,0.8,95,76,1.03691052631579
RSI60/MACD3/BOP0.05/ADX30/,0.8571,14,12,1.03060714285714
RSI60/MACD3/BOP0.05/ADX35/,0.8571,14,12,1.03060714285714
RSI60/MACD3/BOP0.05/ADX40/,0.8571,14,12,1.03060714285714
RSI60/MACD3/BOP0.05/ADX45/,0.8571,14,12,1.03060714285714
RSI60/MACD3/BOP0.05/ADX50/,0.8571,14,12,1.03060714285714
RSI60/MACD3/BOP0.03/,0.8947,19,17,1.0395
RSI60/MACD3/BOP0.01/,0.8947,19,17,1.0395
RSI60/MACD3/BOP-0.01/,0.8889,18,16,1.04245555555556
RSI60/MACD3/BOP-0.03/,0.8889,18,16,1.04245555555556
RSI60/MACD3/BOP-0.05/,0.9375,16,15,1.0534875
RSI60/MACD3/BOP-0.07/,0.9375,16,15,1.0534875
RSI60/MACD2/,0.7647,34,26,1.03156764705882
RSI60/MACD1/,0.7576,33,25,1.03247878787879
MACD3/BOP0.05/ADX30/,0.9318,44,41,1.067575
MACD3/BOP0.05/ADX35/,0.9412,51,48,1.07336078431373
MACD3/BOP0.05/ADX40/,0.9464,56,53,1.07675714285714
MACD3/BOP0.05/ADX45/,0.9474,57,54,1.07679473684211
MACD3/BOP0.05/ADX50/,0.9492,59,56,1.07618474576271
MACD3/BOP0.03/,0.92,100,92,1.063426
MACD3/BOP0.01/,0.9192,99,91,1.06239292929293
MACD3/BOP-0.01/,0.9175,97,89,1.06302680412371
MACD3/BOP-0.03/,0.9167,96,88,1.06312395833333
MACD3/BOP-0.05/,0.9239,92,85,1.06611739130435
MACD3/BOP-0.07/,0.9239,92,85,1.06611739130435
RSI60/BOP0.05/ADX30/,0.8571,14,12,1.03060714285714
RSI60/BOP0.05/ADX35/,0.8571,14,12,1.03060714285714
RSI60/BOP0.05/ADX40/,0.8571,14,12,1.03060714285714
RSI60/BOP0.05/ADX45/,0.8571,14,12,1.03060714285714
RSI60/BOP0.05/ADX50/,0.8571,14,12,1.03060714285714
RSI60/BOP0.03/,0.8947,19,17,1.0395
RSI60/BOP0.01/,0.8947,19,17,1.0395
RSI60/BOP-0.01/,0.8889,18,16,1.04245555555556
RSI60/BOP-0.03/,0.8889,18,16,1.04245555555556
RSI60/BOP-0.05/,0.9375,16,15,1.0534875
RSI60/BOP-0.07/,0.9375,16,15,1.0534875
BOP0.05/ADX30/,0.9318,44,41,1.067575
BOP0.05/ADX35/,0.9412,51,48,1.07336078431373
BOP0.05/ADX40/,0.9464,56,53,1.07675714285714
BOP0.05/ADX45/,0.9474,57,54,1.07679473684211
BOP0.05/ADX50/,0.9492,59,56,1.07618474576271
BOP0.03/,0.9208,101,93,1.0629
BOP0.01/,0.92,100,92,1.061872
BOP-0.01/,0.9184,98,90,1.0624887755102
BOP-0.03/,0.9175,97,89,1.0625793814433
BOP-0.05/,0.9247,93,86,1.06551720430108
BOP-0.07/,0.9247,93,86,1.06551720430108
RSI60/MACD2/ADX30/,0.7037,27,19,1.01108888888889
