Test Name, Success%, Total, Success 
RSI35/MOM0/MACD0/BOP0.03/ADX25/,0,2,0
RSI35/MOM0/MACD0/BOP0.03/ADX30/,0,2,0
RSI35/MOM0/MACD0/BOP0.03/ADX35/,0,2,0
RSI35/MOM0/MACD0/BOP0.03/ADX40/,0,2,0
RSI35/MOM0/MACD0/BOP0.03/ADX45/,0,2,0
RSI35/MOM0/MACD0/BOP0.03/ADX50/,0,2,0
RSI35/MOM0/MACD0/BOP0.01/,0.3333,3,1
RSI35/MOM0/MACD0/BOP-0.01/,0.3333,3,1
RSI35/MOM0/MACD0/BOP-0.03/,0.3333,3,1
RSI35/MOM0/MACD0/BOP-0.05/,0.3333,3,1
RSI35/MOM0/MACD-1/,0,2,0
RSI40/,0.6923,26,18
RSI45/,0.7021,47,33
RSI50/,0.6905,84,58
RSI55/,0.6891,119,82
RSI60/,0.6689,148,99
MOM0/MACD0/BOP0.03/ADX25/,0.4706,17,8
MOM0/MACD0/BOP0.03/ADX30/,0.5417,24,13
MOM0/MACD0/BOP0.03/ADX35/,0.5862,29,17
MOM0/MACD0/BOP0.03/ADX40/,0.6129,31,19
MOM0/MACD0/BOP0.03/ADX45/,0.5882,34,20
MOM0/MACD0/BOP0.03/ADX50/,0.6,35,21
MOM0/MACD0/BOP0.01/,0.6949,59,41
MOM0/MACD0/BOP-0.01/,0.6949,59,41
MOM0/MACD0/BOP-0.03/,0.6949,59,41
MOM0/MACD0/BOP-0.05/,0.6949,59,41
MOM0/MACD-1/,0.7,10,7
RSI35/MACD0/BOP0.03/ADX25/,0,2,0
RSI35/MACD0/BOP0.03/ADX30/,0,2,0
RSI35/MACD0/BOP0.03/ADX35/,0,2,0
RSI35/MACD0/BOP0.03/ADX40/,0,2,0
RSI35/MACD0/BOP0.03/ADX45/,0,3,0
RSI35/MACD0/BOP0.03/ADX50/,0,3,0
RSI35/MACD0/BOP0.01/,0.25,4,1
RSI35/MACD0/BOP-0.01/,0.25,4,1
RSI35/MACD0/BOP-0.03/,0.25,4,1
RSI35/MACD0/BOP-0.05/,0.25,4,1
RSI35/MACD-1/,0,2,0
MACD0/BOP0.03/ADX25/,0.5455,22,12
MACD0/BOP0.03/ADX30/,0.6571,35,23
MACD0/BOP0.03/ADX35/,0.7045,44,31
MACD0/BOP0.03/ADX40/,0.72,50,36
MACD0/BOP0.03/ADX45/,0.6852,54,37
MACD0/BOP0.03/ADX50/,0.6909,55,38
MACD0/BOP0.01/,0.7128,94,67
MACD0/BOP-0.01/,0.7128,94,67
MACD0/BOP-0.03/,0.7204,93,67
MACD0/BOP-0.05/,0.7204,93,67
MACD-1/,0.75,12,9
RSI35/MOM0/BOP0.03/ADX25/,0,2,0
RSI35/MOM0/BOP0.03/ADX30/,0,2,0
RSI35/MOM0/BOP0.03/ADX35/,0,2,0
RSI35/MOM0/BOP0.03/ADX40/,0,2,0
RSI35/MOM0/BOP0.03/ADX45/,0,2,0
RSI35/MOM0/BOP0.03/ADX50/,0,2,0
RSI35/MOM0/BOP0.01/,0.3333,3,1
RSI35/MOM0/BOP-0.01/,0.3333,3,1
RSI35/MOM0/BOP-0.03/,0.3333,3,1
RSI35/MOM0/BOP-0.05/,0.3333,3,1
MOM0/BOP0.03/ADX25/,0.4706,17,8
MOM0/BOP0.03/ADX30/,0.56,25,14
MOM0/BOP0.03/ADX35/,0.6061,33,20
MOM0/BOP0.03/ADX40/,0.6389,36,23
MOM0/BOP0.03/ADX45/,0.6,40,24
MOM0/BOP0.03/ADX50/,0.6098,41,25
MOM0/BOP0.01/,0.6575,73,48
