Test Name, September17, October17, November17, December17, Janurary18, Feburary18, Average%, Average Symbols
BBANDS0.06/,0.6304,0.5102,0.75,0.5254,0.5278,0,0.4906,21
BBANDS0.05/,0.5806,0.5484,0.75,0.4634,0.551,0,0.4822,14
BBANDS0.07/,0.6441,0.4848,0.6,0.519,0.5,0.5,0.5413,26.83
RSI60/ADX20/,0.6667,0.3529,0.5,0.3636,0.5455,0,0.4048,5.17
RSI60/ADX25/,0.5,0.3158,0.6667,0.4118,0.4444,0.5,0.4731,9.17
RSI60/ADX30/,0.6154,0.3396,0.6667,0.4348,0.5094,0.2,0.461,15.33
RSI60/ADX35/,0.6512,0.3333,0.6667,0.4444,0.5231,0.3333,0.492,18.33
RSI60/ADX40/,0.6667,0.3485,0.6667,0.431,0.5405,0.2222,0.4793,20.33
RSI60/ADX45/,0.6667,0.3582,0.6667,0.4333,0.5333,0.2727,0.4885,20.83
RSI60/ADX50/,0.6739,0.3714,0.6667,0.4375,0.5395,0.2727,0.4936,21.83
ADX20/,0.7273,0.35,0.6667,0.4,0.5,0,0.4407,12
ADX25/,0.6324,0.3295,0.8,0.4478,0.3846,0.125,0.4532,22.83
ADX30/,0.6632,0.3864,0.8333,0.4632,0.4516,0.1538,0.4919,36.83
ADX35/,0.7143,0.4331,0.6667,0.4553,0.4783,0.2667,0.5024,48.5
ADX40/,0.7402,0.4789,0.6154,0.4702,0.4866,0.2105,0.5003,59.83
ADX45/,0.7218,0.5023,0.6429,0.4847,0.4755,0.24,0.5112,66
ADX50/,0.7192,0.5087,0.6429,0.4972,0.4862,0.2308,0.5142,71.83
RSI60/,0.7447,0.375,0.8571,0.4286,0.5473,0.25,0.5338,40.67
RSI45/MOM0/MACD0/BOP0.03/ADX35/,1,0,1,0.25,0.6667,0,0.4861,1.67
RSI45/MOM0/MACD0/BOP0.03/ADX40/,1,0,1,0.25,0.7143,0,0.494,1.83
RSI45/MOM0/MACD0/BOP0.03/ADX45/,1,0,1,0.25,0.7143,0,0.494,2
RSI45/MOM0/MACD0/BOP0.03/ADX50/,1,0,1,0.25,0.7143,0,0.494,2
RSI45/MOM0/MACD0/BOP0.01/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/MACD0/BOP-0.01/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/MACD0/BOP-0.03/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/MACD0/BOP-0.05/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/MACD-1/,1,0,0,0.5,0.5,0,0.3333,0.5
RSI50/,0.8333,0.3778,1,0.4865,0.5833,0.25,0.5885,21.83
RSI55/,0.8028,0.3418,1,0.4717,0.563,0.3,0.5799,31.17
MOM0/MACD0/BOP0.03/ADX35/,0.9545,0.1765,1,0.5,0.4828,0.2857,0.5666,8
MOM0/MACD0/BOP0.03/ADX40/,0.9583,0.2222,1,0.5714,0.5161,0.2857,0.5923,9.33
MOM0/MACD0/BOP0.03/ADX45/,0.96,0.3,1,0.5714,0.5,0.3,0.6052,10.33
MOM0/MACD0/BOP0.03/ADX50/,0.96,0.3333,1,0.5714,0.5143,0.3,0.6132,10.67
MOM0/MACD0/BOP0.01/,0.8409,0.4545,1,0.5217,0.4915,0.2727,0.5969,16.67
MOM0/MACD0/BOP-0.01/,0.8409,0.4545,1,0.5455,0.4915,0.2727,0.6008,16.67
MOM0/MACD0/BOP-0.03/,0.8409,0.4545,1,0.5455,0.4915,0.2727,0.6008,16.67
MOM0/MACD0/BOP-0.05/,0.8409,0.4545,1,0.5714,0.4915,0.2727,0.6052,16.67
MOM0/MACD-1/,0.7143,0.5,0,0.6667,0.5,0.5,0.4802,2.83
RSI45/MACD0/BOP0.03/ADX35/,0.9091,0,1,0.1667,0.7778,0,0.4756,3.17
RSI45/MACD0/BOP0.03/ADX40/,0.9091,0,1,0.1429,0.8333,0,0.4809,3.67
RSI45/MACD0/BOP0.03/ADX45/,0.9091,0,1,0.1429,0.8333,0,0.4809,3.83
RSI45/MACD0/BOP0.03/ADX50/,0.8333,0,1,0.1429,0.8333,0,0.4682,3.83
RSI45/MACD0/BOP0.01/,0.7895,0.1,1,0.1111,0.6667,0,0.4446,5.5
RSI45/MACD0/BOP-0.01/,0.7895,0.1,1,0.1111,0.6667,0,0.4446,5.5
RSI45/MACD0/BOP-0.03/,0.7895,0.1111,1,0.125,0.6667,0,0.4487,5.5
RSI45/MACD0/BOP-0.05/,0.7895,0.1111,1,0.125,0.6667,0,0.4487,5.5
RSI45/MACD-1/,1,0,0,0.3333,0.6667,0,0.3333,0.67
MACD0/BOP0.03/ADX35/,0.9487,0.2273,1,0.3333,0.6136,0.2857,0.5681,13.17
MACD0/BOP0.03/ADX40/,0.9524,0.2609,1,0.381,0.64,0.2857,0.5867,15.17
MACD0/BOP0.03/ADX45/,0.9535,0.32,1,0.381,0.6111,0.3,0.5943,16.17
MACD0/BOP0.03/ADX50/,0.9318,0.3462,1,0.381,0.6182,0.3,0.5962,16.5
MACD0/BOP0.01/,0.8571,0.4286,1,0.35,0.5745,0.25,0.5767,25.5
MACD0/BOP-0.01/,0.8571,0.4286,1,0.359,0.5745,0.25,0.5782,25.5
MACD0/BOP-0.03/,0.8571,0.45,1,0.3889,0.5806,0.25,0.5878,25.5
MACD0/BOP-0.05/,0.8551,0.4359,1,0.4118,0.5806,0.25,0.5889,25.17
MACD-1/,0.7143,0.5,0,0.5,0.5833,0.5,0.4663,3.17
RSI45/MOM0/BOP0.03/ADX35/,1,0,1,0.25,0.6667,0,0.4861,1.67
RSI45/MOM0/BOP0.03/ADX40/,1,0,1,0.25,0.7143,0,0.494,1.83
RSI45/MOM0/BOP0.03/ADX45/,1,0,1,0.25,0.7143,0,0.494,2
RSI45/MOM0/BOP0.03/ADX50/,1,0,1,0.25,0.7143,0,0.494,2
RSI45/MOM0/BOP0.01/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/BOP-0.01/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/BOP-0.03/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/BOP-0.05/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
MOM0/BOP0.03/ADX35/,0.9167,0.2222,1,0.5,0.4848,0.25,0.5623,8.83
MOM0/BOP0.03/ADX40/,0.9231,0.2632,1,0.6111,0.5278,0.25,0.5959,10.67
MOM0/BOP0.03/ADX45/,0.9259,0.3333,1,0.65,0.5,0.25,0.6099,12
MOM0/BOP0.03/ADX50/,0.9259,0.3333,1,0.6667,0.5122,0.25,0.6147,12.5
MOM0/BOP0.01/,0.7692,0.5,1,0.6,0.4795,0.2857,0.6057,22
MOM0/BOP-0.01/,0.7692,0.4894,1,0.6053,0.4795,0.2857,0.6048,21.67
MOM0/BOP-0.03/,0.7692,0.5,1,0.5946,0.4795,0.2857,0.6048,21.5
MOM0/BOP-0.05/,0.7692,0.5,1,0.6,0.4795,0.2308,0.5966,21.17
RSI45/BOP0.03/ADX35/,0.9091,0,1,0.1667,0.8,0,0.4793,3.33
RSI45/BOP0.03/ADX40/,0.9091,0,1,0.1429,0.8462,0,0.483,3.83
RSI45/BOP0.03/ADX45/,0.9091,0,1,0.1429,0.8462,0,0.483,4
RSI45/BOP0.03/ADX50/,0.8333,0,1,0.1429,0.8462,0,0.4704,4
RSI45/BOP0.01/,0.7895,0.1,1,0.1111,0.6818,0,0.4471,5.67
RSI45/BOP-0.01/,0.7895,0.1,1,0.1111,0.6818,0,0.4471,5.67
RSI45/BOP-0.03/,0.7895,0.1111,1,0.125,0.6818,0,0.4512,5.67
RSI45/BOP-0.05/,0.7895,0.1111,1,0.125,0.6818,0,0.4512,5.67
BOP0.03/ADX35/,0.9,0.28,0.75,0.4,0.6271,0.2222,0.5299,17.33
BOP0.03/ADX40/,0.9091,0.3077,0.75,0.4545,0.6324,0.2222,0.546,20.17
BOP0.03/ADX45/,0.9107,0.3667,0.8,0.4857,0.5946,0.2308,0.5648,21.67
BOP0.03/ADX50/,0.8966,0.3824,0.8,0.4737,0.6104,0.2308,0.5656,22.83
BOP0.01/,0.8,0.4848,0.875,0.4615,0.5612,0.25,0.5721,39.5
BOP-0.01/,0.8061,0.4769,0.875,0.4533,0.558,0.25,0.5699,38.67
BOP-0.03/,0.8041,0.4918,0.875,0.4638,0.5662,0.2667,0.5779,38
BOP-0.05/,0.8065,0.4833,0.875,0.4769,0.563,0.2143,0.5698,36.83
RSI45/MOM0/MACD-1/ADX35/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MOM0/MACD-1/ADX40/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MOM0/MACD-1/ADX45/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MOM0/MACD-1/ADX50/,1,0,0,0.5,0,0,0.25,0.33
MOM0/MACD-1/ADX35/,1,0.2,0,0.5,0.25,1,0.4917,1.33
MOM0/MACD-1/ADX40/,1,0.2,0,0.6667,0.4,1,0.5444,1.67
MOM0/MACD-1/ADX45/,1,0.3333,0,0.6667,0.4,1,0.5667,1.83
MOM0/MACD-1/ADX50/,1,0.4286,0,0.6667,0.4,1,0.5826,2
RSI45/MACD-1/ADX35/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MACD-1/ADX40/,1,0,0,0.3333,1,0,0.3889,0.5
RSI45/MACD-1/ADX45/,1,0,0,0.3333,1,0,0.3889,0.5
RSI45/MACD-1/ADX50/,1,0,0,0.3333,1,0,0.3889,0.5
MACD-1/ADX35/,1,0.2,0,0.5,0.25,1,0.4917,1.33
MACD-1/ADX40/,1,0.2,0,0.5,0.5,1,0.5333,1.83
MACD-1/ADX45/,1,0.3333,0,0.5,0.5,1,0.5556,2
MACD-1/ADX50/,1,0.4286,0,0.5,0.5,1,0.5714,2.17
RSI50/ADX35/,0.875,0.28,1,0.6,0.587,0.2,0.5903,11.67
RSI50/ADX40/,0.88,0.2963,1,0.5217,0.6364,0.2,0.5891,13.33
RSI50/ADX45/,0.88,0.3448,1,0.48,0.6316,0.1429,0.5799,14
RSI50/ADX50/,0.8462,0.3667,1,0.48,0.6316,0.1429,0.5779,14.17
