Test Name, Success%, Total, Success 
MOM0/ADX40/,0.44,50,22
MOM0/ADX45/,0.4828,58,28
MOM0/ADX50/,0.4762,63,30
ADX40/,0.4105,190,78
ADX45/,0.4378,217,95
ADX50/,0.4391,230,101
MOM0/,0.4706,68,32
RSI60/ADX25/,0.2895,38,11
RSI60/ADX30/,0.3208,53,17
RSI60/ADX35/,0.3167,60,19
RSI60/ADX40/,0.3182,66,21
RSI60/ADX45/,0.3284,67,22
RSI60/ADX50/,0.3143,70,22
RSI60/MACD0/ADX25/,0.6,5,3
RSI60/MACD0/ADX30/,0.6,5,3
RSI60/MACD0/ADX35/,0.6,5,3
RSI60/MACD0/ADX40/,0.6667,6,4
RSI60/MACD0/ADX45/,0.6667,6,4
RSI60/MACD0/ADX50/,0.5714,7,4
RSI55/MACD0/ADX25/,0.2857,7,2
RSI55/MACD0/ADX30/,0.2727,11,3
RSI55/MACD0/ADX35/,0.3571,14,5
RSI55/MACD0/ADX40/,0.3571,14,5
RSI55/MACD0/ADX45/,0.3571,14,5
RSI55/MACD0/ADX50/,0.3571,14,5
RSI60/,0.3269,104,34
MACD0/ADX25/,0.2609,23,6
MACD0/ADX30/,0.2857,35,10
MACD0/ADX35/,0.3171,41,13
MACD0/ADX40/,0.3409,44,15
MACD0/ADX45/,0.383,47,18
MACD0/ADX50/,0.3878,49,19
RSI55/ADX25/,0.2143,28,6
RSI55/ADX30/,0.2683,41,11
RSI55/ADX35/,0.2857,49,14
RSI55/ADX40/,0.2745,51,14
RSI55/ADX45/,0.3019,53,16
RSI55/ADX50/,0.2963,54,16
ADX25/,0.2727,88,24
ADX30/,0.3106,132,41
ADX35/,0.3631,157,57
RSI60/MACD0/,0.5,8,4
RSI55/MACD0/,0.3333,15,5
MACD0/,0.3654,52,19
RSI55/,0.3038,79,24
MOM0/BOP0.05/BBANDS0.07/ADX45/,0.6,20,12
MOM0/BOP0.05/BBANDS0.07/ADX50/,0.5714,21,12
MOM0/BOP0.03/,0.4375,48,21
MOM0/BOP0.01/,0.4375,48,21
MOM0/BOP-0.01/,0.4255,47,20
MOM0/BOP-0.03/,0.4348,46,20
MOM0/BOP-0.05/,0.4348,46,20
BOP0.05/BBANDS0.07/ADX45/,0.5769,26,15
BOP0.05/BBANDS0.07/ADX50/,0.5357,28,15
BOP0.03/,0.403,67,27
BOP0.01/,0.4091,66,27
BOP-0.01/,0.4,65,26
BOP-0.03/,0.4098,61,25
BOP-0.05/,0.4,60,24
MOM0/BBANDS0.07/ADX45/,0.5517,29,16
MOM0/BBANDS0.07/ADX50/,0.5484,31,17
BBANDS0.07/ADX45/,0.4259,54,23
BBANDS0.07/ADX50/,0.4237,59,25
MOM0/BOP0.05/ADX45/,0.4762,42,20
MOM0/BOP0.05/ADX50/,0.4565,46,21
BOP0.05/ADX45/,0.4483,58,26
BOP0.05/ADX50/,0.4219,64,27
MOM0/BOP0.05/BBANDS0.07/,0.5455,22,12
BOP0.05/BBANDS0.07/,0.5,30,15
MOM0/BBANDS0.07/,0.5294,34,18
BBANDS0.07/,0.4091,66,27
MOM0/BOP0.05/,0.449,49,22
BOP0.05/,0.4143,70,29
BBANDS0.07/ADX30/,0.2727,33,9
BBANDS0.07/ADX35/,0.359,39,14
BBANDS0.07/ADX40/,0.4167,48,20
BBANDS0.06/,0.4286,49,21
RSI60/BBANDS0.07/ADX20/,0.3333,9,3
RSI60/BBANDS0.07/ADX25/,0.2143,14,3
RSI60/BBANDS0.07/ADX30/,0.1765,17,3
RSI60/BBANDS0.07/ADX35/,0.2222,18,4
RSI60/BBANDS0.07/ADX40/,0.25,20,5
RSI60/BBANDS0.07/ADX45/,0.25,20,5
RSI60/BBANDS0.07/ADX50/,0.2381,21,5
RSI60/BBANDS0.06/,0.3125,16,5
RSI55/MOM0/BBANDS0.07/ADX20/,0,1,0
RSI55/MOM0/BBANDS0.07/ADX25/,0,2,0
RSI55/MOM0/BBANDS0.07/ADX30/,0,2,0
RSI55/MOM0/BBANDS0.07/ADX35/,0.5,4,2
RSI55/MOM0/BBANDS0.07/ADX40/,0.5,4,2
RSI55/MOM0/BBANDS0.07/ADX45/,0.5,4,2
RSI55/MOM0/BBANDS0.07/ADX50/,0.5,4,2
RSI55/MOM0/BBANDS0.06/,0,2,0
MOM0/BBANDS0.07/ADX20/,0.3333,6,2
MOM0/BBANDS0.07/ADX25/,0.3,10,3
MOM0/BBANDS0.07/ADX30/,0.3571,14,5
MOM0/BBANDS0.07/ADX35/,0.4737,19,9
MOM0/BBANDS0.07/ADX40/,0.56,25,14
MOM0/BBANDS0.06/,0.5,24,12
RSI55/BBANDS0.07/ADX20/,0.3333,6,2
RSI55/BBANDS0.07/ADX25/,0.1667,12,2
RSI55/BBANDS0.07/ADX30/,0.1538,13,2
RSI55/BBANDS0.07/ADX35/,0.2667,15,4
RSI55/BBANDS0.07/ADX40/,0.2667,15,4
RSI55/BBANDS0.07/ADX45/,0.2667,15,4
RSI55/BBANDS0.07/ADX50/,0.2667,15,4
RSI55/BBANDS0.06/,0.1667,12,2
BBANDS0.07/ADX20/,0.3846,13,5
BBANDS0.07/ADX25/,0.2609,23,6
RSI60/ADX20/,0.3529,17,6
RSI55/MOM0/ADX20/,0,1,0
RSI55/MOM0/ADX25/,0,2,0
RSI55/MOM0/ADX30/,0.2,5,1
RSI55/MOM0/ADX35/,0.5,8,4
RSI55/MOM0/ADX40/,0.5,8,4
RSI55/MOM0/ADX45/,0.5,8,4
RSI55/MOM0/ADX50/,0.5,8,4
