Test Name, Success%, Total, Success 
BBANDS0.06/,0.4237,59,25
BBANDS0.05/,0.3659,41,15
BBANDS0.07/,0.4177,79,33
RSI60/ADX20/,0.3182,22,7
RSI60/ADX25/,0.3235,34,11
RSI60/ADX30/,0.3478,46,16
RSI60/ADX35/,0.3519,54,19
RSI60/ADX40/,0.3448,58,20
RSI60/ADX45/,0.3333,60,20
RSI60/ADX50/,0.3438,64,22
ADX20/,0.325,40,13
ADX25/,0.3433,67,23
ADX30/,0.3684,95,35
ADX35/,0.3659,123,45
ADX40/,0.3775,151,57
ADX45/,0.3804,163,62
ADX50/,0.3955,177,70
RSI60/,0.3367,98,33
RSI45/MOM0/MACD0/BOP0.03/ADX35/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.03/ADX40/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.03/ADX45/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.03/ADX50/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.01/,0.2,5,1
RSI45/MOM0/MACD0/BOP-0.01/,0.2,5,1
RSI45/MOM0/MACD0/BOP-0.03/,0.2,5,1
RSI45/MOM0/MACD0/BOP-0.05/,0.2,5,1
RSI45/MOM0/MACD-1/,0.5,2,1
RSI50/,0.4054,37,15
RSI55/,0.3962,53,21
MOM0/MACD0/BOP0.03/ADX35/,0.4,10,4
MOM0/MACD0/BOP0.03/ADX40/,0.5,14,7
MOM0/MACD0/BOP0.03/ADX45/,0.5,14,7
MOM0/MACD0/BOP0.03/ADX50/,0.5,14,7
MOM0/MACD0/BOP0.01/,0.3913,23,9
MOM0/MACD0/BOP-0.01/,0.4091,22,9
MOM0/MACD0/BOP-0.03/,0.4091,22,9
MOM0/MACD0/BOP-0.05/,0.4286,21,9
MOM0/MACD-1/,0.6667,3,2
RSI45/MACD0/BOP0.03/ADX35/,0.1667,6,1
RSI45/MACD0/BOP0.03/ADX40/,0.1429,7,1
RSI45/MACD0/BOP0.03/ADX45/,0.1429,7,1
RSI45/MACD0/BOP0.03/ADX50/,0.1429,7,1
RSI45/MACD0/BOP0.01/,0.1111,9,1
RSI45/MACD0/BOP-0.01/,0.1111,9,1
RSI45/MACD0/BOP-0.03/,0.125,8,1
RSI45/MACD0/BOP-0.05/,0.125,8,1
RSI45/MACD-1/,0.3333,3,1
MACD0/BOP0.03/ADX35/,0.2667,15,4
MACD0/BOP0.03/ADX40/,0.3333,21,7
MACD0/BOP0.03/ADX45/,0.3333,21,7
MACD0/BOP0.03/ADX50/,0.3333,21,7
MACD0/BOP0.01/,0.275,40,11
MACD0/BOP-0.01/,0.2821,39,11
MACD0/BOP-0.03/,0.3056,36,11
MACD0/BOP-0.05/,0.3235,34,11
MACD-1/,0.5,4,2
RSI45/MOM0/BOP0.03/ADX35/,0.25,4,1
RSI45/MOM0/BOP0.03/ADX40/,0.25,4,1
RSI45/MOM0/BOP0.03/ADX45/,0.25,4,1
RSI45/MOM0/BOP0.03/ADX50/,0.25,4,1
RSI45/MOM0/BOP0.01/,0.2,5,1
RSI45/MOM0/BOP-0.01/,0.2,5,1
RSI45/MOM0/BOP-0.03/,0.2,5,1
RSI45/MOM0/BOP-0.05/,0.2,5,1
MOM0/BOP0.03/ADX35/,0.4167,12,5
