Test Name, Success%, Total, Success 
MOM0/BBANDS0.07/ADX35/,0.4444,18,8
MOM0/BBANDS0.07/ADX40/,0.4286,21,9
MOM0/BBANDS0.07/ADX45/,0.4286,21,9
MOM0/BBANDS0.07/ADX50/,0.4091,22,9
MOM0/BBANDS0.06/,0.3684,19,7
MOM0/BBANDS0.05/,0.3077,13,4
BBANDS0.07/ADX35/,0.4722,36,17
BBANDS0.07/ADX40/,0.5,42,21
BBANDS0.07/ADX45/,0.4565,46,21
BBANDS0.07/ADX50/,0.4423,52,23
BBANDS0.06/,0.4348,46,20
BBANDS0.05/,0.3548,31,11
MOM0/ADX35/,0.6667,42,28
MOM0/ADX40/,0.6596,47,31
MOM0/ADX45/,0.6667,48,32
MOM0/ADX50/,0.64,50,32
ADX35/,0.6071,112,68
ADX40/,0.6299,127,80
ADX45/,0.6165,133,82
ADX50/,0.5959,146,87
MOM0/BBANDS0.07/,0.4167,24,10
BBANDS0.07/,0.4746,59,28
MOM0/,0.6,55,33
ADX20/,0.6667,33,22
ADX25/,0.5735,68,39
ADX30/,0.5474,95,52
RSI60/BOP0.03/ADX30/,0.7333,15,11
RSI60/BOP0.03/ADX35/,0.7333,15,11
RSI60/BOP0.03/ADX40/,0.7333,15,11
RSI60/BOP0.03/ADX45/,0.7333,15,11
RSI60/BOP0.03/ADX50/,0.7333,15,11
RSI60/BOP0.01/,0.6364,22,14
RSI60/BOP-0.01/,0.6667,21,14
RSI60/BOP-0.03/,0.6667,21,14
RSI60/BOP-0.05/,0.6842,19,13
BOP0.03/ADX30/,0.8182,44,36
BOP0.03/ADX35/,0.84,50,42
BOP0.03/ADX40/,0.8364,55,46
BOP0.03/ADX45/,0.8393,56,47
BOP0.03/ADX50/,0.8276,58,48
BOP0.01/,0.68,100,68
BOP-0.01/,0.6837,98,67
BOP-0.03/,0.6804,97,66
BOP-0.05/,0.6882,93,64
RSI60/BOP0.05/ADX30/,0.65,20,13
RSI60/BOP0.05/ADX35/,0.65,20,13
RSI60/BOP0.05/ADX40/,0.6667,21,14
RSI60/BOP0.05/ADX45/,0.6667,21,14
RSI60/BOP0.05/ADX50/,0.6364,22,14
RSI60/BOP0.03/,0.6364,22,14
BOP0.05/ADX30/,0.697,66,46
BOP0.05/ADX35/,0.72,75,54
BOP0.05/ADX40/,0.7176,85,61
BOP0.05/ADX45/,0.7209,86,62
BOP0.05/ADX50/,0.6957,92,64
BOP0.03/,0.6832,101,69
RSI60/ADX30/,0.4872,39,19
RSI60/ADX35/,0.5349,43,23
RSI60/ADX40/,0.5556,45,25
RSI60/ADX45/,0.5556,45,25
RSI60/ADX50/,0.5435,46,25
RSI60/BOP0.05/,0.6364,22,14
BOP0.05/,0.6827,104,71
RSI60/,0.6277,94,59
RSI50/MACD0/BOP0.03/ADX25/,0.75,8,6
RSI50/MACD0/BOP0.03/ADX30/,0.8182,11,9
RSI50/MACD0/BOP0.03/ADX35/,0.8333,12,10
RSI50/MACD0/BOP0.03/ADX40/,0.8333,12,10
RSI50/MACD0/BOP0.03/ADX45/,0.8333,12,10
RSI50/MACD0/BOP0.03/ADX50/,0.8333,12,10
RSI50/MACD0/BOP0.01/,0.7368,19,14
RSI50/MACD0/BOP-0.01/,0.7368,19,14
RSI50/MACD0/BOP-0.03/,0.7368,19,14
RSI50/MACD0/BOP-0.05/,0.7222,18,13
RSI55/,0.6761,71,48
RSI45/MACD0/BOP0.03/ADX25/,0.9,10,9
RSI45/MACD0/BOP0.03/ADX30/,0.9,10,9
RSI45/MACD0/BOP0.03/ADX35/,0.9091,11,10
RSI45/MACD0/BOP0.03/ADX40/,0.9091,11,10
RSI45/MACD0/BOP0.03/ADX45/,0.9091,11,10
RSI45/MACD0/BOP0.03/ADX50/,0.8333,12,10
RSI45/MACD0/BOP0.01/,0.6316,19,12
RSI45/MACD0/BOP-0.01/,0.6316,19,12
RSI45/MACD0/BOP-0.03/,0.6316,19,12
RSI45/MACD0/BOP-0.05/,0.6316,19,12
RSI50/,0.75,48,36
MACD0/BOP0.03/ADX25/,0.8571,28,24
MACD0/BOP0.03/ADX30/,0.8529,34,29
MACD0/BOP0.03/ADX35/,0.8718,39,34
MACD0/BOP0.03/ADX40/,0.8571,42,36
MACD0/BOP0.03/ADX45/,0.8605,43,37
MACD0/BOP0.03/ADX50/,0.8409,44,37
MACD0/BOP0.01/,0.7286,70,51
MACD0/BOP-0.01/,0.7286,70,51
MACD0/BOP-0.03/,0.7286,70,51
MACD0/BOP-0.05/,0.7246,69,50
RSI50/BOP0.03/ADX25/,0.75,8,6
RSI50/BOP0.03/ADX30/,0.8182,11,9
RSI50/BOP0.03/ADX35/,0.8333,12,10
RSI50/BOP0.03/ADX40/,0.8333,12,10
RSI50/BOP0.03/ADX45/,0.8333,12,10
RSI50/BOP0.03/ADX50/,0.8333,12,10
RSI50/BOP0.01/,0.7368,19,14
RSI50/BOP-0.01/,0.7368,19,14
RSI50/BOP-0.03/,0.7368,19,14
RSI50/BOP-0.05/,0.7222,18,13
RSI45/BOP0.03/ADX25/,0.9,10,9
RSI45/BOP0.03/ADX30/,0.9,10,9
RSI45/BOP0.03/ADX35/,0.9091,11,10
RSI45/BOP0.03/ADX40/,0.9091,11,10
RSI45/BOP0.03/ADX45/,0.9091,11,10
RSI45/BOP0.03/ADX50/,0.8333,12,10
RSI45/BOP0.01/,0.6316,19,12
RSI45/BOP-0.01/,0.6316,19,12
RSI45/BOP-0.03/,0.6316,19,12
RSI45/BOP-0.05/,0.6316,19,12
BOP0.03/ADX25/,0.8056,36,29
RSI55/ADX25/,0.64,25,16
RSI55/ADX30/,0.6364,33,21
RSI55/ADX35/,0.6757,37,25
RSI55/ADX40/,0.675,40,27
RSI55/ADX45/,0.675,40,27
RSI55/ADX50/,0.675,40,27
RSI50/ADX25/,0.8824,17,15
RSI50/ADX30/,0.8571,21,18
RSI50/ADX35/,0.875,24,21
RSI50/ADX40/,0.88,25,22
RSI50/ADX45/,0.88,25,22
RSI50/ADX50/,0.8462,26,22
RSI50/MACD0/BOP0.05/ADX25/,0.8182,11,9
RSI50/MACD0/BOP0.05/ADX30/,0.8,15,12
RSI50/MACD0/BOP0.05/ADX35/,0.8125,16,13
RSI50/MACD0/BOP0.05/ADX40/,0.8125,16,13
RSI50/MACD0/BOP0.05/ADX45/,0.8125,16,13
RSI50/MACD0/BOP0.05/ADX50/,0.8125,16,13
RSI50/MACD0/BOP0.03/,0.7368,19,14
RSI45/MACD0/BOP0.05/ADX25/,0.8333,12,10
RSI45/MACD0/BOP0.05/ADX30/,0.6875,16,11
RSI45/MACD0/BOP0.05/ADX35/,0.7059,17,12
RSI45/MACD0/BOP0.05/ADX40/,0.6667,18,12
RSI45/MACD0/BOP0.05/ADX45/,0.6667,18,12
RSI45/MACD0/BOP0.05/ADX50/,0.6316,19,12
RSI45/MACD0/BOP0.03/,0.6316,19,12
MACD0/BOP0.05/ADX25/,0.8529,34,29
MACD0/BOP0.05/ADX30/,0.7708,48,37
MACD0/BOP0.05/ADX35/,0.7963,54,43
MACD0/BOP0.05/ADX40/,0.7705,61,47
MACD0/BOP0.05/ADX45/,0.7742,62,48
MACD0/BOP0.05/ADX50/,0.7538,65,49
MACD0/BOP0.03/,0.7286,70,51
RSI50/BOP0.05/ADX25/,0.8182,11,9
RSI50/BOP0.05/ADX30/,0.8,15,12
RSI50/BOP0.05/ADX35/,0.8125,16,13
RSI50/BOP0.05/ADX40/,0.8125,16,13
RSI50/BOP0.05/ADX45/,0.8125,16,13
RSI50/BOP0.05/ADX50/,0.8125,16,13
RSI50/BOP0.03/,0.7368,19,14
RSI45/BOP0.05/ADX25/,0.8333,12,10
RSI45/BOP0.05/ADX30/,0.6875,16,11
RSI45/BOP0.05/ADX35/,0.7059,17,12
RSI45/BOP0.05/ADX40/,0.6667,18,12
RSI45/BOP0.05/ADX45/,0.6667,18,12
RSI45/BOP0.05/ADX50/,0.6316,19,12
RSI45/BOP0.03/,0.6316,19,12
BOP0.05/ADX25/,0.7234,47,34
RSI50/MACD0/ADX25/,0.8333,12,10
RSI50/MACD0/ADX30/,0.8125,16,13
RSI50/MACD0/ADX35/,0.8333,18,15
RSI50/MACD0/ADX40/,0.8421,19,16
RSI50/MACD0/ADX45/,0.8421,19,16
RSI50/MACD0/ADX50/,0.8421,19,16
RSI45/MACD0/ADX25/,0.8333,12,10
RSI45/MACD0/ADX30/,0.6875,16,11
RSI45/MACD0/ADX35/,0.7059,17,12
RSI45/MACD0/ADX40/,0.6842,19,13
RSI45/MACD0/ADX45/,0.6842,19,13
RSI45/MACD0/ADX50/,0.65,20,13
MACD0/ADX25/,0.8108,37,30
MACD0/ADX30/,0.7308,52,38
MACD0/ADX35/,0.7627,59,45
MACD0/ADX40/,0.7463,67,50
MACD0/ADX45/,0.75,68,51
MACD0/ADX50/,0.7324,71,52
RSI45/ADX25/,0.8667,15,13
RSI45/ADX30/,0.75,20,15
RSI45/ADX35/,0.7727,22,17
RSI45/ADX40/,0.72,25,18
RSI45/ADX45/,0.72,25,18
RSI45/ADX50/,0.6923,26,18
RSI50/MACD0/BOP0.05/,0.7368,19,14
RSI45/MACD0/BOP0.05/,0.6316,19,12
MACD0/BOP0.05/,0.7286,70,51
RSI50/BOP0.05/,0.7368,19,14
RSI45/BOP0.05/,0.6316,19,12
RSI50/MACD0/,0.7727,22,17
RSI45/MACD0/,0.65,20,13
MACD0/,0.7105,76,54
RSI45/,0.7273,33,24
RSI40/MOM0/MACD0/BOP0.03/ADX25/,1,3,3
RSI40/MOM0/MACD0/BOP0.03/ADX30/,1,4,4
RSI40/MOM0/MACD0/BOP0.03/ADX35/,1,5,5
RSI40/MOM0/MACD0/BOP0.03/ADX40/,1,5,5
RSI40/MOM0/MACD0/BOP0.03/ADX45/,1,5,5
RSI40/MOM0/MACD0/BOP0.03/ADX50/,1,5,5
RSI40/MOM0/MACD0/BOP0.01/,1,7,7
RSI40/MOM0/MACD0/BOP-0.01/,1,7,7
