Test Name, Success%, Total, Success 
BBANDS0.06/,0.6102,59,36
BBANDS0.05/,0.5366,41,22
BBANDS0.07/,0.5949,79,47
RSI60/ADX20/,0.3636,22,8
RSI60/ADX25/,0.4412,34,15
RSI60/ADX30/,0.4565,46,21
RSI60/ADX35/,0.463,54,25
RSI60/ADX40/,0.4483,58,26
RSI60/ADX45/,0.45,60,27
RSI60/ADX50/,0.4531,64,29
ADX20/,0.45,40,18
ADX25/,0.5224,67,35
ADX30/,0.5263,95,50
ADX35/,0.5122,123,63
ADX40/,0.5298,151,80
ADX45/,0.5399,163,88
ADX50/,0.548,177,97
RSI60/,0.4796,98,47
RSI45/MOM0/MACD0/BOP0.03/ADX35/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.03/ADX40/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.03/ADX45/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.03/ADX50/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.01/,0.4,5,2
RSI45/MOM0/MACD0/BOP-0.01/,0.4,5,2
RSI45/MOM0/MACD0/BOP-0.03/,0.4,5,2
RSI45/MOM0/MACD0/BOP-0.05/,0.4,5,2
RSI45/MOM0/MACD-1/,0.5,2,1
RSI50/,0.5946,37,22
RSI55/,0.5472,53,29
MOM0/MACD0/BOP0.03/ADX35/,0.6,10,6
MOM0/MACD0/BOP0.03/ADX40/,0.6429,14,9
MOM0/MACD0/BOP0.03/ADX45/,0.6429,14,9
MOM0/MACD0/BOP0.03/ADX50/,0.6429,14,9
MOM0/MACD0/BOP0.01/,0.6087,23,14
MOM0/MACD0/BOP-0.01/,0.6364,22,14
MOM0/MACD0/BOP-0.03/,0.6364,22,14
MOM0/MACD0/BOP-0.05/,0.6667,21,14
MOM0/MACD-1/,0.6667,3,2
RSI45/MACD0/BOP0.03/ADX35/,0.1667,6,1
RSI45/MACD0/BOP0.03/ADX40/,0.2857,7,2
RSI45/MACD0/BOP0.03/ADX45/,0.2857,7,2
RSI45/MACD0/BOP0.03/ADX50/,0.2857,7,2
RSI45/MACD0/BOP0.01/,0.3333,9,3
RSI45/MACD0/BOP-0.01/,0.3333,9,3
RSI45/MACD0/BOP-0.03/,0.375,8,3
RSI45/MACD0/BOP-0.05/,0.375,8,3
RSI45/MACD-1/,0.6667,3,2
MACD0/BOP0.03/ADX35/,0.4667,15,7
MACD0/BOP0.03/ADX40/,0.5238,21,11
MACD0/BOP0.03/ADX45/,0.5238,21,11
MACD0/BOP0.03/ADX50/,0.5238,21,11
MACD0/BOP0.01/,0.475,40,19
MACD0/BOP-0.01/,0.4872,39,19
MACD0/BOP-0.03/,0.4722,36,17
MACD0/BOP-0.05/,0.5,34,17
MACD-1/,0.75,4,3
RSI45/MOM0/BOP0.03/ADX35/,0.25,4,1
RSI45/MOM0/BOP0.03/ADX40/,0.25,4,1
RSI45/MOM0/BOP0.03/ADX45/,0.25,4,1
RSI45/MOM0/BOP0.03/ADX50/,0.25,4,1
RSI45/MOM0/BOP0.01/,0.4,5,2
RSI45/MOM0/BOP-0.01/,0.4,5,2
RSI45/MOM0/BOP-0.03/,0.4,5,2
RSI45/MOM0/BOP-0.05/,0.4,5,2
MOM0/BOP0.03/ADX35/,0.5833,12,7
MOM0/BOP0.03/ADX40/,0.6667,18,12
MOM0/BOP0.03/ADX45/,0.7,20,14
MOM0/BOP0.03/ADX50/,0.7143,21,15
MOM0/BOP0.01/,0.65,40,26
MOM0/BOP-0.01/,0.6579,38,25
MOM0/BOP-0.03/,0.6486,37,24
MOM0/BOP-0.05/,0.6571,35,23
RSI45/BOP0.03/ADX35/,0.1667,6,1
RSI45/BOP0.03/ADX40/,0.2857,7,2
RSI45/BOP0.03/ADX45/,0.2857,7,2
RSI45/BOP0.03/ADX50/,0.2857,7,2
RSI45/BOP0.01/,0.3333,9,3
RSI45/BOP-0.01/,0.3333,9,3
RSI45/BOP-0.03/,0.375,8,3
RSI45/BOP-0.05/,0.375,8,3
BOP0.03/ADX35/,0.48,25,12
BOP0.03/ADX40/,0.5455,33,18
BOP0.03/ADX45/,0.5714,35,20
BOP0.03/ADX50/,0.5526,38,21
BOP0.01/,0.5256,78,41
BOP-0.01/,0.52,75,39
BOP-0.03/,0.5072,69,35
BOP-0.05/,0.5231,65,34
RSI45/MOM0/MACD-1/ADX35/,0.5,2,1
RSI45/MOM0/MACD-1/ADX40/,0.5,2,1
RSI45/MOM0/MACD-1/ADX45/,0.5,2,1
RSI45/MOM0/MACD-1/ADX50/,0.5,2,1
MOM0/MACD-1/ADX35/,0.5,2,1
MOM0/MACD-1/ADX40/,0.6667,3,2
MOM0/MACD-1/ADX45/,0.6667,3,2
MOM0/MACD-1/ADX50/,0.6667,3,2
RSI45/MACD-1/ADX35/,0.5,2,1
RSI45/MACD-1/ADX40/,0.6667,3,2
RSI45/MACD-1/ADX45/,0.6667,3,2
RSI45/MACD-1/ADX50/,0.6667,3,2
MACD-1/ADX35/,0.5,2,1
MACD-1/ADX40/,0.75,4,3
MACD-1/ADX45/,0.75,4,3
