Test Name, Success%, Total, Success 
ADX45/,0.28,25,7
ADX50/,0.2692,26,7
RSI60/MACD0/BOP0.05/BBANDS0.07/ADX30/,0,1,0
RSI60/MACD0/BOP0.05/BBANDS0.07/ADX35/,0,1,0
RSI60/MACD0/BOP0.05/BBANDS0.07/ADX40/,0,1,0
RSI60/MACD0/BOP0.05/BBANDS0.07/ADX45/,0,1,0
RSI60/MACD0/BOP0.05/BBANDS0.07/ADX50/,0,1,0
RSI60/MACD0/BOP0.05/BBANDS0.06/,0,1,0
RSI60/MACD0/BOP0.05/BBANDS0.05/,0,1,0
RSI60/MACD0/BOP0.05/BBANDS0.04/,0,1,0
RSI60/MACD0/BOP0.05/BBANDS0.03/,0,1,0
RSI60/MACD0/BOP0.03/,0,1,0
RSI60/MACD0/BOP0.01/,0,1,0
RSI60/MACD0/BOP-0.01/,0,1,0
RSI60/MACD0/BOP-0.03/,0,1,0
RSI60/MACD0/BOP-0.05/,0,1,0
MACD0/BOP0.05/BBANDS0.07/ADX30/,0,1,0
MACD0/BOP0.05/BBANDS0.07/ADX35/,0,1,0
MACD0/BOP0.05/BBANDS0.07/ADX40/,0,1,0
MACD0/BOP0.05/BBANDS0.07/ADX45/,0,1,0
MACD0/BOP0.05/BBANDS0.07/ADX50/,0,1,0
MACD0/BOP0.05/BBANDS0.06/,0,1,0
MACD0/BOP0.05/BBANDS0.05/,0,1,0
MACD0/BOP0.05/BBANDS0.04/,0,1,0
MACD0/BOP0.05/BBANDS0.03/,0,1,0
MACD0/BOP0.03/,0.25,12,3
MACD0/BOP0.01/,0.25,12,3
MACD0/BOP-0.01/,0.25,12,3
MACD0/BOP-0.03/,0.25,12,3
MACD0/BOP-0.05/,0.25,12,3
RSI60/BOP0.05/BBANDS0.07/ADX30/,0,1,0
RSI60/BOP0.05/BBANDS0.07/ADX35/,0,1,0
RSI60/BOP0.05/BBANDS0.07/ADX40/,0,1,0
RSI60/BOP0.05/BBANDS0.07/ADX45/,0,1,0
RSI60/BOP0.05/BBANDS0.07/ADX50/,0,1,0
RSI60/BOP0.05/BBANDS0.06/,0,1,0
RSI60/BOP0.05/BBANDS0.05/,0,1,0
RSI60/BOP0.05/BBANDS0.04/,0,1,0
RSI60/BOP0.05/BBANDS0.03/,0,1,0
RSI60/BOP0.03/,0.25,4,1
RSI60/BOP0.01/,0.25,4,1
RSI60/BOP-0.01/,0.25,4,1
RSI60/BOP-0.03/,0.3333,3,1
RSI60/BOP-0.05/,0,2,0
BOP0.05/BBANDS0.07/ADX30/,0,1,0
BOP0.05/BBANDS0.07/ADX35/,0,1,0
BOP0.05/BBANDS0.07/ADX40/,0,1,0
BOP0.05/BBANDS0.07/ADX45/,0,1,0
BOP0.05/BBANDS0.07/ADX50/,0,1,0
BOP0.05/BBANDS0.06/,0,1,0
BOP0.05/BBANDS0.05/,0,1,0
BOP0.05/BBANDS0.04/,0,1,0
BOP0.05/BBANDS0.03/,0,1,0
BOP0.03/,0.3125,16,5
BOP0.01/,0.3125,16,5
BOP-0.01/,0.3125,16,5
BOP-0.03/,0.3333,15,5
BOP-0.05/,0.2857,14,4
RSI60/MACD0/BBANDS0.07/ADX30/,0,1,0
RSI60/MACD0/BBANDS0.07/ADX35/,0,1,0
RSI60/MACD0/BBANDS0.07/ADX40/,0,1,0
RSI60/MACD0/BBANDS0.07/ADX45/,0,1,0
RSI60/MACD0/BBANDS0.07/ADX50/,0,1,0
RSI60/MACD0/BBANDS0.06/,0,1,0
RSI60/MACD0/BBANDS0.05/,0,1,0
RSI60/MACD0/BBANDS0.04/,0,1,0
RSI60/MACD0/BBANDS0.03/,0,1,0
MACD0/BBANDS0.07/ADX30/,0,1,0
MACD0/BBANDS0.07/ADX35/,0,1,0
MACD0/BBANDS0.07/ADX40/,0,1,0
MACD0/BBANDS0.07/ADX45/,0,1,0
MACD0/BBANDS0.07/ADX50/,0,1,0
MACD0/BBANDS0.06/,0,1,0
MACD0/BBANDS0.05/,0,1,0
MACD0/BBANDS0.04/,0,1,0
MACD0/BBANDS0.03/,0,1,0
RSI60/BBANDS0.07/ADX30/,0.5,2,1
RSI60/BBANDS0.07/ADX35/,0.5,2,1
RSI60/BBANDS0.07/ADX40/,0.5,2,1
RSI60/BBANDS0.07/ADX45/,0.5,2,1
RSI60/BBANDS0.07/ADX50/,0.5,2,1
RSI60/BBANDS0.06/,0,1,0
RSI60/BBANDS0.05/,0,1,0
RSI60/BBANDS0.04/,0,1,0
RSI60/BBANDS0.03/,0,1,0
BBANDS0.07/ADX30/,0.5,2,1
BBANDS0.07/ADX35/,0.5,2,1
BBANDS0.07/ADX40/,0.5,2,1
BBANDS0.07/ADX45/,0.5,2,1
BBANDS0.07/ADX50/,0.5,2,1
BBANDS0.06/,0,1,0
BBANDS0.05/,0,1,0
BBANDS0.04/,0,1,0
BBANDS0.03/,0,1,0
RSI60/MACD0/BOP0.05/ADX30/,0,1,0
RSI60/MACD0/BOP0.05/ADX35/,0,1,0
RSI60/MACD0/BOP0.05/ADX40/,0,1,0
RSI60/MACD0/BOP0.05/ADX45/,0,1,0
RSI60/MACD0/BOP0.05/ADX50/,0,1,0
MACD0/BOP0.05/ADX30/,0.1429,7,1
MACD0/BOP0.05/ADX35/,0.25,8,2
MACD0/BOP0.05/ADX40/,0.25,8,2
MACD0/BOP0.05/ADX45/,0.2727,11,3
MACD0/BOP0.05/ADX50/,0.2727,11,3
RSI60/BOP0.05/ADX30/,0,2,0
RSI60/BOP0.05/ADX35/,0,2,0
RSI60/BOP0.05/ADX40/,0,2,0
RSI60/BOP0.05/ADX45/,0,3,0
RSI60/BOP0.05/ADX50/,0,3,0
BOP0.05/ADX30/,0.2222,9,2
BOP0.05/ADX35/,0.3,10,3
BOP0.05/ADX40/,0.3,10,3
BOP0.05/ADX45/,0.2857,14,4
BOP0.05/ADX50/,0.2857,14,4
RSI60/MACD0/ADX30/,0,1,0
RSI60/MACD0/ADX35/,0,1,0
RSI60/MACD0/ADX40/,0,1,0
RSI60/MACD0/ADX45/,0,1,0
RSI60/MACD0/ADX50/,0,1,0
MACD0/ADX30/,0.1429,7,1
MACD0/ADX35/,0.3333,9,3
MACD0/ADX40/,0.3333,9,3
MACD0/ADX45/,0.3333,12,4
MACD0/ADX50/,0.3333,12,4
RSI60/ADX30/,0.2,5,1
RSI60/ADX35/,0.3333,6,2
RSI60/ADX40/,0.2222,9,2
RSI60/ADX45/,0.2727,11,3
RSI60/ADX50/,0.2727,11,3
ADX30/,0.2308,13,3
ADX35/,0.3333,15,5
ADX40/,0.2632,19,5
RSI60/MACD0/BOP0.05/BBANDS0.07/,0,1,0
MACD0/BOP0.05/BBANDS0.07/,0,1,0
RSI60/BOP0.05/BBANDS0.07/,0,1,0
BOP0.05/BBANDS0.07/,0,1,0
RSI60/MACD0/BBANDS0.07/,0,1,0
MACD0/BBANDS0.07/,0,1,0
RSI60/BBANDS0.07/,0.5,2,1
BBANDS0.07/,0.5,2,1
RSI60/MACD0/BOP0.05/,0,1,0
MACD0/BOP0.05/,0.25,12,3
RSI60/BOP0.05/,0.25,4,1
BOP0.05/,0.3125,16,5
RSI60/MACD0/,0,1,0
MACD0/,0.3077,13,4
RSI60/,0.2917,24,7
ADX20/,0.25,4,1
ADX25/,0.25,8,2
RSI60/MOM0/ADX40/,0,2,0
RSI60/MOM0/ADX45/,0,2,0
RSI60/MOM0/ADX50/,0,2,0
MOM0/ADX40/,0.3636,11,4
MOM0/ADX45/,0.3333,15,5
MOM0/ADX50/,0.3333,15,5
RSI60/MOM0/,0,2,0
MOM0/,0.3333,18,6
RSI55/ADX30/,0.3333,6,2
RSI55/ADX35/,0.4286,7,3
RSI55/ADX40/,0.375,8,3
RSI55/ADX45/,0.3636,11,4
RSI55/ADX50/,0.3636,11,4
RSI55/,0.35,20,7
RSI40/MOM0/MACD0/BOP0.03/ADX30/,0.5,2,1
RSI40/MOM0/MACD0/BOP0.03/ADX35/,0.5,2,1
RSI40/MOM0/MACD0/BOP0.03/ADX40/,0.5,2,1
RSI40/MOM0/MACD0/BOP0.03/ADX45/,0.5,2,1
RSI40/MOM0/MACD0/BOP0.03/ADX50/,0.5,2,1
RSI40/MOM0/MACD0/BOP0.01/,0.5,2,1
RSI40/MOM0/MACD0/BOP-0.01/,0.5,2,1
RSI40/MOM0/MACD0/BOP-0.03/,0.5,2,1
RSI40/MOM0/MACD0/BOP-0.05/,0.5,2,1
RSI45/,0.375,8,3
RSI50/,0.3333,12,4
MOM0/MACD0/BOP0.03/ADX30/,0.1667,6,1
MOM0/MACD0/BOP0.03/ADX35/,0.2857,7,2
MOM0/MACD0/BOP0.03/ADX40/,0.2857,7,2
MOM0/MACD0/BOP0.03/ADX45/,0.3,10,3
MOM0/MACD0/BOP0.03/ADX50/,0.3,10,3
MOM0/MACD0/BOP0.01/,0.2727,11,3
MOM0/MACD0/BOP-0.01/,0.2727,11,3
MOM0/MACD0/BOP-0.03/,0.2727,11,3
MOM0/MACD0/BOP-0.05/,0.2727,11,3
RSI40/MACD0/BOP0.03/ADX30/,0.5,2,1
RSI40/MACD0/BOP0.03/ADX35/,0.5,2,1
RSI40/MACD0/BOP0.03/ADX40/,0.5,2,1
RSI40/MACD0/BOP0.03/ADX45/,0.5,2,1
RSI40/MACD0/BOP0.03/ADX50/,0.5,2,1
RSI40/MACD0/BOP0.01/,0.5,2,1
RSI40/MACD0/BOP-0.01/,0.5,2,1
RSI40/MACD0/BOP-0.03/,0.5,2,1
RSI40/MACD0/BOP-0.05/,0.5,2,1
MACD0/BOP0.03/ADX30/,0.1667,6,1
MACD0/BOP0.03/ADX35/,0.2857,7,2
MACD0/BOP0.03/ADX40/,0.2857,7,2
MACD0/BOP0.03/ADX45/,0.3,10,3
MACD0/BOP0.03/ADX50/,0.3,10,3
RSI40/MOM0/BOP0.03/ADX30/,0.5,2,1
RSI40/MOM0/BOP0.03/ADX35/,0.5,2,1
RSI40/MOM0/BOP0.03/ADX40/,0.5,2,1
RSI40/MOM0/BOP0.03/ADX45/,0.5,2,1
RSI40/MOM0/BOP0.03/ADX50/,0.5,2,1
RSI40/MOM0/BOP0.01/,0.5,2,1
RSI40/MOM0/BOP-0.01/,0.5,2,1
RSI40/MOM0/BOP-0.03/,0.5,2,1
RSI40/MOM0/BOP-0.05/,0.5,2,1
MOM0/BOP0.03/ADX30/,0.2857,7,2
MOM0/BOP0.03/ADX35/,0.375,8,3
MOM0/BOP0.03/ADX40/,0.375,8,3
MOM0/BOP0.03/ADX45/,0.3333,12,4
MOM0/BOP0.03/ADX50/,0.3333,12,4
MOM0/BOP0.01/,0.3571,14,5
MOM0/BOP-0.01/,0.3571,14,5
MOM0/BOP-0.03/,0.3571,14,5
MOM0/BOP-0.05/,0.3077,13,4
RSI40/BOP0.03/ADX30/,0.5,2,1
RSI40/BOP0.03/ADX35/,0.5,2,1
RSI40/BOP0.03/ADX40/,0.5,2,1
RSI40/BOP0.03/ADX45/,0.5,2,1
RSI40/BOP0.03/ADX50/,0.5,2,1
RSI40/BOP0.01/,0.5,2,1
RSI40/BOP-0.01/,0.5,2,1
RSI40/BOP-0.03/,0.5,2,1
RSI40/BOP-0.05/,0.5,2,1
BOP0.03/ADX30/,0.25,8,2
BOP0.03/ADX35/,0.3333,9,3
BOP0.03/ADX40/,0.3333,9,3
BOP0.03/ADX45/,0.3077,13,4
BOP0.03/ADX50/,0.3077,13,4
RSI45/ADX30/,0.5,4,2
RSI45/ADX35/,0.5,4,2
