Test Name, Success%, Total, Success 
MOM0/ADX40/,0.5,50,25
MOM0/ADX45/,0.5517,58,32
MOM0/ADX50/,0.5556,63,35
ADX40/,0.5474,190,104
ADX45/,0.5668,217,123
ADX50/,0.5696,230,131
MOM0/,0.5588,68,38
RSI60/ADX25/,0.3421,38,13
RSI60/ADX30/,0.3962,53,21
RSI60/ADX35/,0.4,60,24
RSI60/ADX40/,0.4242,66,28
RSI60/ADX45/,0.4328,67,29
RSI60/ADX50/,0.4429,70,31
RSI60/MACD0/ADX25/,0.6,5,3
RSI60/MACD0/ADX30/,0.6,5,3
RSI60/MACD0/ADX35/,0.6,5,3
RSI60/MACD0/ADX40/,0.6667,6,4
RSI60/MACD0/ADX45/,0.6667,6,4
RSI60/MACD0/ADX50/,0.7143,7,5
RSI55/MACD0/ADX25/,0.2857,7,2
RSI55/MACD0/ADX30/,0.2727,11,3
RSI55/MACD0/ADX35/,0.3571,14,5
RSI55/MACD0/ADX40/,0.3571,14,5
RSI55/MACD0/ADX45/,0.3571,14,5
RSI55/MACD0/ADX50/,0.3571,14,5
RSI60/,0.4519,104,47
MACD0/ADX25/,0.3043,23,7
MACD0/ADX30/,0.3714,35,13
MACD0/ADX35/,0.3902,41,16
MACD0/ADX40/,0.4091,44,18
MACD0/ADX45/,0.4468,47,21
MACD0/ADX50/,0.4694,49,23
RSI55/ADX25/,0.2857,28,8
RSI55/ADX30/,0.3659,41,15
RSI55/ADX35/,0.3878,49,19
RSI55/ADX40/,0.3922,51,20
RSI55/ADX45/,0.4151,53,22
RSI55/ADX50/,0.4259,54,23
ADX25/,0.3977,88,35
ADX30/,0.4621,132,61
ADX35/,0.5032,157,79
RSI60/MACD0/,0.625,8,5
RSI55/MACD0/,0.3333,15,5
MACD0/,0.4423,52,23
RSI55/,0.4304,79,34
MOM0/BOP0.05/BBANDS0.07/ADX45/,0.7,20,14
MOM0/BOP0.05/BBANDS0.07/ADX50/,0.7143,21,15
MOM0/BOP0.03/,0.5208,48,25
MOM0/BOP0.01/,0.5208,48,25
MOM0/BOP-0.01/,0.5106,47,24
MOM0/BOP-0.03/,0.5217,46,24
MOM0/BOP-0.05/,0.5217,46,24
BOP0.05/BBANDS0.07/ADX45/,0.6538,26,17
BOP0.05/BBANDS0.07/ADX50/,0.6429,28,18
BOP0.03/,0.5075,67,34
BOP0.01/,0.5,66,33
BOP-0.01/,0.4923,65,32
BOP-0.03/,0.5082,61,31
BOP-0.05/,0.5,60,30
MOM0/BBANDS0.07/ADX45/,0.6552,29,19
MOM0/BBANDS0.07/ADX50/,0.6774,31,21
BBANDS0.07/ADX45/,0.5556,54,30
BBANDS0.07/ADX50/,0.5593,59,33
MOM0/BOP0.05/ADX45/,0.5476,42,23
MOM0/BOP0.05/ADX50/,0.5435,46,25
BOP0.05/ADX45/,0.5345,58,31
BOP0.05/ADX50/,0.5312,64,34
MOM0/BOP0.05/BBANDS0.07/,0.6818,22,15
BOP0.05/BBANDS0.07/,0.6,30,18
MOM0/BBANDS0.07/,0.6765,34,23
BBANDS0.07/,0.5455,66,36
MOM0/BOP0.05/,0.5306,49,26
BOP0.05/,0.5143,70,36
BBANDS0.07/ADX30/,0.4545,33,15
BBANDS0.07/ADX35/,0.5128,39,20
BBANDS0.07/ADX40/,0.5417,48,26
BBANDS0.06/,0.5918,49,29
RSI60/BBANDS0.07/ADX20/,0.3333,9,3
RSI60/BBANDS0.07/ADX25/,0.2143,14,3
RSI60/BBANDS0.07/ADX30/,0.2353,17,4
RSI60/BBANDS0.07/ADX35/,0.2778,18,5
RSI60/BBANDS0.07/ADX40/,0.3,20,6
RSI60/BBANDS0.07/ADX45/,0.3,20,6
RSI60/BBANDS0.07/ADX50/,0.3333,21,7
RSI60/BBANDS0.06/,0.375,16,6
RSI55/MOM0/BBANDS0.07/ADX20/,0,1,0
RSI55/MOM0/BBANDS0.07/ADX25/,0,2,0
RSI55/MOM0/BBANDS0.07/ADX30/,0,2,0
RSI55/MOM0/BBANDS0.07/ADX35/,0.5,4,2
RSI55/MOM0/BBANDS0.07/ADX40/,0.5,4,2
RSI55/MOM0/BBANDS0.07/ADX45/,0.5,4,2
RSI55/MOM0/BBANDS0.07/ADX50/,0.5,4,2
RSI55/MOM0/BBANDS0.06/,0,2,0
MOM0/BBANDS0.07/ADX20/,0.3333,6,2
MOM0/BBANDS0.07/ADX25/,0.4,10,4
MOM0/BBANDS0.07/ADX30/,0.5,14,7
MOM0/BBANDS0.07/ADX35/,0.5789,19,11
MOM0/BBANDS0.07/ADX40/,0.64,25,16
MOM0/BBANDS0.06/,0.6667,24,16
RSI55/BBANDS0.07/ADX20/,0.3333,6,2
RSI55/BBANDS0.07/ADX25/,0.25,12,3
RSI55/BBANDS0.07/ADX30/,0.3077,13,4
RSI55/BBANDS0.07/ADX35/,0.4,15,6
RSI55/BBANDS0.07/ADX40/,0.4,15,6
RSI55/BBANDS0.07/ADX45/,0.4,15,6
RSI55/BBANDS0.07/ADX50/,0.4,15,6
RSI55/BBANDS0.06/,0.3333,12,4
BBANDS0.07/ADX20/,0.3846,13,5
BBANDS0.07/ADX25/,0.3478,23,8
RSI60/ADX20/,0.3529,17,6
RSI55/MOM0/ADX20/,0,1,0
RSI55/MOM0/ADX25/,0,2,0
RSI55/MOM0/ADX30/,0.2,5,1
RSI55/MOM0/ADX35/,0.5,8,4
RSI55/MOM0/ADX40/,0.5,8,4
RSI55/MOM0/ADX45/,0.5,8,4
RSI55/MOM0/ADX50/,0.5,8,4
MOM0/ADX20/,0.2308,13,3
MOM0/ADX25/,0.25,20,5
MOM0/ADX30/,0.3636,33,12
MOM0/ADX35/,0.439,41,18
RSI55/ADX20/,0.3077,13,4
ADX20/,0.375,40,15
RSI60/BBANDS0.07/,0.3182,22,7
RSI55/MOM0/BBANDS0.07/,0.5,4,2
RSI55/BBANDS0.07/,0.4,15,6
RSI55/MOM0/,0.4444,9,4
RSI45/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX20/,0.3333,3,1
RSI45/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX25/,0.3333,3,1
RSI45/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX30/,0.3333,3,1
RSI45/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX35/,0.3333,3,1
RSI45/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX40/,0.3333,3,1
RSI45/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX45/,0.3333,3,1
RSI45/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX50/,0.3333,3,1
RSI45/MOM0/MACD0/BOP0.05/BBANDS0.06/,0,1,0
RSI45/MOM0/MACD0/BOP0.05/BBANDS0.05/,0,1,0
RSI45/MOM0/MACD0/BOP0.03/,0.125,8,1
RSI45/MOM0/MACD0/BOP0.01/,0.125,8,1
RSI45/MOM0/MACD0/BOP-0.01/,0.125,8,1
RSI45/MOM0/MACD0/BOP-0.03/,0.125,8,1
RSI45/MOM0/MACD0/BOP-0.05/,0.125,8,1
RSI50/,0.4444,45,20
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX20/,0.5,4,2
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX25/,0.5,4,2
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX30/,0.6,5,3
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX35/,0.6667,9,6
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX40/,0.7,10,7
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX45/,0.7,10,7
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX50/,0.7273,11,8
MOM0/MACD0/BOP0.05/BBANDS0.06/,0.5,4,2
MOM0/MACD0/BOP0.05/BBANDS0.05/,0.3333,3,1
MOM0/MACD0/BOP0.03/,0.4848,33,16
MOM0/MACD0/BOP0.01/,0.4848,33,16
MOM0/MACD0/BOP-0.01/,0.4848,33,16
MOM0/MACD0/BOP-0.03/,0.4848,33,16
MOM0/MACD0/BOP-0.05/,0.4848,33,16
RSI45/MACD0/BOP0.05/BBANDS0.07/ADX20/,0.3333,3,1
RSI45/MACD0/BOP0.05/BBANDS0.07/ADX25/,0.3333,3,1
RSI45/MACD0/BOP0.05/BBANDS0.07/ADX30/,0.3333,3,1
RSI45/MACD0/BOP0.05/BBANDS0.07/ADX35/,0.3333,3,1
RSI45/MACD0/BOP0.05/BBANDS0.07/ADX40/,0.25,4,1
RSI45/MACD0/BOP0.05/BBANDS0.07/ADX45/,0.25,4,1
RSI45/MACD0/BOP0.05/BBANDS0.07/ADX50/,0.25,4,1
RSI45/MACD0/BOP0.05/BBANDS0.06/,0,2,0
RSI45/MACD0/BOP0.05/BBANDS0.05/,0,1,0
RSI45/MACD0/BOP0.03/,0.1,10,1
RSI45/MACD0/BOP0.01/,0.1,10,1
RSI45/MACD0/BOP-0.01/,0.1,10,1
RSI45/MACD0/BOP-0.03/,0.1111,9,1
RSI45/MACD0/BOP-0.05/,0.1111,9,1
MACD0/BOP0.05/BBANDS0.07/ADX20/,0.6,5,3
MACD0/BOP0.05/BBANDS0.07/ADX25/,0.6,5,3
MACD0/BOP0.05/BBANDS0.07/ADX30/,0.6667,6,4
MACD0/BOP0.05/BBANDS0.07/ADX35/,0.7,10,7
MACD0/BOP0.05/BBANDS0.07/ADX40/,0.6667,12,8
MACD0/BOP0.05/BBANDS0.07/ADX45/,0.6667,12,8
MACD0/BOP0.05/BBANDS0.07/ADX50/,0.6923,13,9
MACD0/BOP0.05/BBANDS0.06/,0.4286,7,3
MACD0/BOP0.05/BBANDS0.05/,0.4,5,2
MACD0/BOP0.03/,0.4524,42,19
MACD0/BOP0.01/,0.4524,42,19
MACD0/BOP-0.01/,0.4524,42,19
MACD0/BOP-0.03/,0.475,40,19
MACD0/BOP-0.05/,0.4615,39,18
RSI45/MOM0/BOP0.05/BBANDS0.07/ADX20/,0.3333,3,1
RSI45/MOM0/BOP0.05/BBANDS0.07/ADX25/,0.3333,3,1
RSI45/MOM0/BOP0.05/BBANDS0.07/ADX30/,0.3333,3,1
RSI45/MOM0/BOP0.05/BBANDS0.07/ADX35/,0.3333,3,1
RSI45/MOM0/BOP0.05/BBANDS0.07/ADX40/,0.3333,3,1
RSI45/MOM0/BOP0.05/BBANDS0.07/ADX45/,0.3333,3,1
