Test Name, Success%, Total, Success 
MOM0/BBANDS0.07/ADX35/,0.7778,18,14
MOM0/BBANDS0.07/ADX40/,0.7619,21,16
MOM0/BBANDS0.07/ADX45/,0.7619,21,16
MOM0/BBANDS0.07/ADX50/,0.7727,22,17
MOM0/BBANDS0.06/,0.7895,19,15
MOM0/BBANDS0.05/,0.7692,13,10
BBANDS0.07/ADX35/,0.75,36,27
BBANDS0.07/ADX40/,0.7619,42,32
BBANDS0.07/ADX45/,0.6957,46,32
BBANDS0.07/ADX50/,0.7115,52,37
BBANDS0.06/,0.7174,46,33
BBANDS0.05/,0.6774,31,21
MOM0/ADX35/,0.8571,42,36
MOM0/ADX40/,0.8511,47,40
MOM0/ADX45/,0.8542,48,41
MOM0/ADX50/,0.84,50,42
ADX35/,0.75,112,84
ADX40/,0.7717,127,98
ADX45/,0.7519,133,100
ADX50/,0.7534,146,110
MOM0/BBANDS0.07/,0.75,24,18
BBANDS0.07/,0.7119,59,42
MOM0/,0.7818,55,43
ADX20/,0.8182,33,27
ADX25/,0.6912,68,47
ADX30/,0.7053,95,67
RSI60/BOP0.03/ADX30/,0.8,15,12
RSI60/BOP0.03/ADX35/,0.8,15,12
RSI60/BOP0.03/ADX40/,0.8,15,12
RSI60/BOP0.03/ADX45/,0.8,15,12
RSI60/BOP0.03/ADX50/,0.8,15,12
RSI60/BOP0.01/,0.7727,22,17
RSI60/BOP-0.01/,0.8095,21,17
RSI60/BOP-0.03/,0.8095,21,17
RSI60/BOP-0.05/,0.8421,19,16
BOP0.03/ADX30/,0.8864,44,39
BOP0.03/ADX35/,0.9,50,45
BOP0.03/ADX40/,0.9091,55,50
BOP0.03/ADX45/,0.9107,56,51
BOP0.03/ADX50/,0.8966,58,52
BOP0.01/,0.81,100,81
BOP-0.01/,0.8163,98,80
BOP-0.03/,0.8144,97,79
BOP-0.05/,0.8172,93,76
RSI60/BOP0.05/ADX30/,0.75,20,15
RSI60/BOP0.05/ADX35/,0.75,20,15
RSI60/BOP0.05/ADX40/,0.7619,21,16
RSI60/BOP0.05/ADX45/,0.7619,21,16
RSI60/BOP0.05/ADX50/,0.7727,22,17
RSI60/BOP0.03/,0.7727,22,17
BOP0.05/ADX30/,0.8182,66,54
BOP0.05/ADX35/,0.84,75,63
BOP0.05/ADX40/,0.8471,85,72
BOP0.05/ADX45/,0.8488,86,73
BOP0.05/ADX50/,0.837,92,77
BOP0.03/,0.8119,101,82
RSI60/ADX30/,0.7179,39,28
RSI60/ADX35/,0.7442,43,32
RSI60/ADX40/,0.7556,45,34
RSI60/ADX45/,0.7556,45,34
RSI60/ADX50/,0.7609,46,35
RSI60/BOP0.05/,0.7727,22,17
BOP0.05/,0.8077,104,84
RSI60/,0.7872,94,74
RSI50/MACD0/BOP0.03/ADX25/,0.75,8,6
RSI50/MACD0/BOP0.03/ADX30/,0.8182,11,9
RSI50/MACD0/BOP0.03/ADX35/,0.8333,12,10
RSI50/MACD0/BOP0.03/ADX40/,0.8333,12,10
RSI50/MACD0/BOP0.03/ADX45/,0.8333,12,10
RSI50/MACD0/BOP0.03/ADX50/,0.8333,12,10
RSI50/MACD0/BOP0.01/,0.7368,19,14
RSI50/MACD0/BOP-0.01/,0.7368,19,14
RSI50/MACD0/BOP-0.03/,0.7368,19,14
RSI50/MACD0/BOP-0.05/,0.7222,18,13
RSI55/,0.8169,71,58
RSI45/MACD0/BOP0.03/ADX25/,0.9,10,9
RSI45/MACD0/BOP0.03/ADX30/,0.9,10,9
RSI45/MACD0/BOP0.03/ADX35/,0.9091,11,10
RSI45/MACD0/BOP0.03/ADX40/,0.9091,11,10
RSI45/MACD0/BOP0.03/ADX45/,0.9091,11,10
RSI45/MACD0/BOP0.03/ADX50/,0.8333,12,10
RSI45/MACD0/BOP0.01/,0.7895,19,15
RSI45/MACD0/BOP-0.01/,0.7895,19,15
RSI45/MACD0/BOP-0.03/,0.7895,19,15
RSI45/MACD0/BOP-0.05/,0.7895,19,15
RSI50/,0.8333,48,40
MACD0/BOP0.03/ADX25/,0.9286,28,26
MACD0/BOP0.03/ADX30/,0.9412,34,32
MACD0/BOP0.03/ADX35/,0.9487,39,37
MACD0/BOP0.03/ADX40/,0.9524,42,40
MACD0/BOP0.03/ADX45/,0.9535,43,41
MACD0/BOP0.03/ADX50/,0.9318,44,41
MACD0/BOP0.01/,0.8571,70,60
MACD0/BOP-0.01/,0.8571,70,60
MACD0/BOP-0.03/,0.8571,70,60
MACD0/BOP-0.05/,0.8551,69,59
RSI50/BOP0.03/ADX25/,0.75,8,6
RSI50/BOP0.03/ADX30/,0.8182,11,9
RSI50/BOP0.03/ADX35/,0.8333,12,10
RSI50/BOP0.03/ADX40/,0.8333,12,10
